Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type,doi_norm,title_norm,venue_type_inferred,matched_venue_name,matched_by,venue_match_score,venue_classification,selection_status,selection_reason
,,,Proceedings of the Workshop on Computer Architecture Education,2025,,,,,,,,,,Proceeding,,proceedings of the workshop on computer architecture education,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 4th International Conference on Artificial Intelligence and Intelligent Information Processing,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on artificial intelligence and intelligent information processing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 2nd International Conference on Smart Healthcare and Wearable Intelligent Devices,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on smart healthcare and wearable intelligent devices,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 15th International Symposium on Highly Efficient Accelerators and Reconfigurable Technologies,2025,,,,,,,,,,Proceeding,,proceedings of the international symposium on highly efficient accelerators and reconfigurable technologies,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 3rd International Conference on Educational Knowledge and Informatization,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on educational knowledge and informatization,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 International Symposium on Physical Design,2025,,,,,,,,,,Proceeding,,proceedings of the international symposium on physical design,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 2nd International Conference on Economic Data Analytics and Artificial Intelligence,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on economic data analytics and artificial intelligence,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the Second International Workshop on Radio Frequency (RF) Computing,2025,,,,,,,,,,Proceeding,,proceedings of the second international workshop on radio frequency rf computing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 International Conference on Digital Society and Intelligent Computing,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on digital society and intelligent computing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 ACM Workshop on Secure and Trustworthy Cyber-physical Systems,2025,,,,,,,,,,Proceeding,,proceedings of the acm workshop on secure and trustworthy cyber physical systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 3rd International Conference on Internet of Things and Cloud Computing Technology,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on internet of things and cloud computing technology,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 2nd International Conference on Cloud Computing and Big Data,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on cloud computing and big data,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 7th Asia Conference on Machine Learning and Computing,2025,,,,,,,,,,Proceeding,,proceedings of the asia conference on machine learning and computing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the Great Lakes Symposium on VLSI 2025,2025,,,,,,,,,,Proceeding,,proceedings of the great lakes symposium on vlsi,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 9th International Conference on Deep Learning Technologies,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on deep learning technologies,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 10th International Conference on Cyber Security and Information Engineering,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on cyber security and information engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,Workshop Proceedings of the 54th International Conference on Parallel Processing,2025,,,,,,,,,,Proceeding,,workshop proceedings of the international conference on parallel processing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 International Symposium on Artificial Intelligence and Computational Social Sciences,2025,,,,,,,,,,Proceeding,,proceedings of the international symposium on artificial intelligence and computational social sciences,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 International Conference on Digital Economy and Intelligent Computing,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on digital economy and intelligent computing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 11th Annual International Conference on Network and Information Systems for Computers,2025,,,,,,,,,,Proceeding,,proceedings of the annual international conference on network and information systems for computers,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 9th International Conference on Electronic Information Technology and Computer Engineering,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on electronic information technology and computer engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 26th ACM SIGPLAN/SIGBED International Conference on Languages, Compilers, and Tools for Embedded Systems",2025,,,,,,,,,,Proceeding,,proceedings of the acm sigplan sigbed international conference on languages compilers and tools for embedded systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 International Conference on Generative AI and Digital Media Arts,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on generative ai and digital media arts,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 International Conference on Artificial Intelligence and Smart Manufacturing,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on artificial intelligence and smart manufacturing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2nd International Conference on Intelligent Education and Computer Technology,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on intelligent education and computer technology,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2025 2nd International Conference on Virtual Reality, Image and Signal Processing",2025,,,,,,,,,,Proceeding,,proceedings of the international conference on virtual reality image and signal processing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 International Conference on Artificial Intelligence and Product Design,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on artificial intelligence and product design,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2025 5th International Conference on Automation Control, Algorithm and Intelligent Bionics",2025,,,,,,,,,,Proceeding,,proceedings of the international conference on automation control algorithm and intelligent bionics,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2025 International Conference on Intelligent Systems, Automation and Control",2025,,,,,,,,,,Proceeding,,proceedings of the international conference on intelligent systems automation and control,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 6th International Conference on Computer Information and Big Data Applications,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on computer information and big data applications,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 22nd ACM SIGGRAPH European Conference on Visual Media Production,2025,,,,,,,,,,Proceeding,,proceedings of the acm siggraph european conference on visual media production,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 5th International Conference on Control and Intelligent Robotics,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on control and intelligent robotics,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 36th International Workshop on Rapid System Prototyping,2025,,,,,,,,,,Proceeding,,proceedings of the international workshop on rapid system prototyping,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 ACM Workshop on Access Networks with Artificial Intelligence,2025,,,,,,,,,,Proceeding,,proceedings of the acm workshop on access networks with artificial intelligence,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2025 4th International Conference on Big Data, Information and Computer Network",2025,,,,,,,,,,Proceeding,,proceedings of the international conference on big data information and computer network,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 22nd ACM International Conference on Computing Frontiers,2025,,,,,,,,,,Proceeding,,proceedings of the acm international conference on computing frontiers,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area Education Digitalization and Computer Science International Conference,2025,,,,,,,,,,Proceeding,,proceedings of the guangdong hong kong macao greater bay area education digitalization and computer science international conference,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 ACM/SIGDA International Symposium on Field Programmable Gate Arrays,2025,,,,,,,,,,Proceeding,,proceedings of the acm sigda international symposium on field programmable gate arrays,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 International Conference on Digital Education and Information Technology,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on digital education and information technology,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2025 3rd International Conference on Robotics, Control and Vision Engineering",2025,,,,,,,,,,Proceeding,,proceedings of the international conference on robotics control and vision engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,Abstracts of the 2025 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,2025,,,,,,,,,,Proceeding,,abstracts of the acm sigmetrics international conference on measurement and modeling of computer systems,other,,,0,,other_document_type,not_conference_or_journal
,,,ACM SIGGRAPH 2025 Emerging Technologies,2025,,,,,,,,,,Proceeding,,acm siggraph emerging technologies,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the SC '25 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",2025,,,,,,,,,,Proceeding,,proceedings of the sc 25 workshops of the international conference for high performance computing networking storage and analysis,other,,,0,,other_document_type,not_conference_or_journal
Allen N.; Pearce H.; Roop P.,Nathan Allen; Hammond Pearce; Partha Roop,,Biomedical Embedded Systems: From Design to Security,2025,,68,,,,,,,,Book,,biomedical embedded systems from design to security,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,2025,,,,,,,,,,Proceeding,,proceedings of the acm sigkdd conference on knowledge discovery and data mining v 2,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 4th Workshop on Practical Adoption Challenges of ML for Systems,2025,,,,,,,,,,Proceeding,,proceedings of the workshop on practical adoption challenges of ml for systems,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 4th International Conference on Computer, Artificial Intelligence and Control Engineering",2025,,,,,,,,,,Proceeding,,proceedings of the international conference on computer artificial intelligence and control engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 2nd International Conference on Autonomous Driving and Intelligent Sensing Technology,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on autonomous driving and intelligent sensing technology,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 39th ACM International Conference on Supercomputing,2025,,,,,,,,,,Proceeding,,proceedings of the acm international conference on supercomputing,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3",2025,,,,,,,,,,Proceeding,,proceedings of the acm international conference on architectural support for programming languages and operating systems volume 3,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 34th ACM SIGPLAN International Conference on Compiler Construction,2025,,,,,,,,,,Proceeding,,proceedings of the acm sigplan international conference on compiler construction,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 54th International Conference on Parallel Processing,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on parallel processing,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",2025,,,,,,,,,,Proceeding,,proceedings of the international conference for high performance computing networking storage and analysis,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 1",2025,,,,,,,,,,Proceeding,,proceedings of the acm international conference on architectural support for programming languages and operating systems volume 1,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the Twentieth European Conference on Computer Systems,2025,,,,,,,,,,Proceeding,,proceedings of the twentieth european conference on computer systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Companion of the 2025 International Conference on Management of Data,2025,,,,,,,,,,Proceeding,,companion of the international conference on management of data,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the International Symposium on Memory Systems,2025,,,,,,,,,,Proceeding,,proceedings of the international symposium on memory systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the Nineteenth ACM Conference on Recommender Systems,2025,,,,,,,,,,Proceeding,,proceedings of the nineteenth acm conference on recommender systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 ACM Symposium on Cloud Computing,2025,,,,,,,,,,Proceeding,,proceedings of the acm symposium on cloud computing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the ACM SIGCOMM 2025 Posters and Demos,2025,,,,,,,,,,Proceeding,,proceedings of the acm sigcomm posters and demos,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 3rd International Conference of the ACM Greek SIGCHI Chapter,2025,,,,,,,,,,Proceeding,,proceedings of the international conference of the acm greek sigchi chapter,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",2025,,,,,,,,,,Proceeding,,proceedings of the acm international conference on architectural support for programming languages and operating systems volume 2,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 5th International Conference on Robotics and Control Engineering,2025,,,,,,,,,,Proceeding,,proceedings of the international conference on robotics and control engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 58th IEEE/ACM International Symposium on Microarchitecture,2025,,,,,,,,,,Proceeding,,proceedings of the ieee acm international symposium on microarchitecture,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 30th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming,2025,,,,,,,,,,Proceeding,,proceedings of the acm sigplan annual symposium on principles and practice of parallel programming,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 52nd Annual International Symposium on Computer Architecture,2025,,,,,,,,,,Proceeding,,proceedings of the annual international symposium on computer architecture,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 21st International Workshop on Data Management on New Hardware,2025,,,,,,,,,,Proceeding,,proceedings of the international workshop on data management on new hardware,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,2025,,,,,,,,,,Proceeding,,proceedings of the acm sigsac conference on computer and communications security,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 17th ACM Workshop on Hot Topics in Storage and File Systems,2025,,,,,,,,,,Proceeding,,proceedings of the acm workshop on hot topics in storage and file systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,2025,,,,,,,,,,Proceeding,,proceedings of the annual acm symposium on user interface software and technology,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the sixth decennial Aarhus conference: Computing X Crisis,2025,,,,,,,,,,Proceeding,,proceedings of the sixth decennial aarhus conference computing x crisis,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the ACM Symposium on Computational Fabrication,2025,,,,,,,,,,Proceeding,,proceedings of the acm symposium on computational fabrication,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2025 ACM SIGPLAN International Symposium on Memory Management,2025,,,,,,,,,,Proceeding,,proceedings of the acm sigplan international symposium on memory management,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 13th Workshop on Programming Languages and Operating Systems,2025,,,,,,,,,,Proceeding,,proceedings of the workshop on programming languages and operating systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,2024,,,,,,,,,,Proceeding,,proceedings of the acm ieee international symposium on machine learning for cad,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2024 4th International Conference on Artificial Intelligence, Automation and Algorithms",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on artificial intelligence automation and algorithms,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 7th International Conference on Digital Medicine and Image Processing,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on digital medicine and image processing,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2024 3rd International Conference on Algorithms, Data Mining, and Information Technology",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on algorithms data mining and information technology,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the International Workshop on Hardware and Architectural Support for Security and Privacy 2024,2024,,,,,,,,,,Proceeding,,proceedings of the international workshop on hardware and architectural support for security and privacy,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 4th Workshop on Machine Learning and Systems,2024,,,,,,,,,,Proceeding,,proceedings of the workshop on machine learning and systems,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the International Conference on Image Processing, Machine Learning and Pattern Recognition",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on image processing machine learning and pattern recognition,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the International Workshop on Big Data in Emergent Distributed Environments,2024,,,,,,,,,,Proceeding,,proceedings of the international workshop on big data in emergent distributed environments,other,,,0,,other_document_type,not_conference_or_journal
