Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type,doi_norm,title_norm,venue_type_inferred,matched_venue_name,matched_by,venue_match_score,venue_classification,selection_status,selection_reason
,,,"Proceedings of the 2024 8th International Conference on High Performance Compilation, Computing and Communications",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on high performance compilation computing and communications,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2024 4th International Conference on Computational Modeling, Simulation and Data Analysis",2024,,,,,,,,,,Proceeding,,proceedings of the international conference on computational modeling simulation and data analysis,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2nd Workshop on SErverless Systems, Applications and MEthodologies",2024,,,,,,,,,,Proceeding,,proceedings of the workshop on serverless systems applications and methodologies,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 15th ACM/SPEC International Conference on Performance Engineering,2024,,,,,,,,,,Proceeding,,acm spec international conference on performance engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 22nd Annual International Conference on Mobile Systems, Applications and Services",2024,,,,,,,,,,Proceeding,,proceedings of the annual international conference on mobile systems applications and services,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 3rd International Symposium on Control Engineering and Robotics,2024,,,,,,,,,,Proceeding,,proceedings of the international symposium on control engineering and robotics,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 23rd ACM Workshop on Hot Topics in Networks,2024,,,,,,,,,,Proceeding,,proceedings of the acm workshop on hot topics in networks,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 19th International Audio Mostly Conference: Explorations in Sonic Cultures,2024,,,,,,,,,,Proceeding,,proceedings of the international audio mostly conference explorations in sonic cultures,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 10th International Conference on Education and Training Technologies,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on education and training technologies,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 12th Workshop on Encrypted Computing &amp; Applied Homomorphic Cryptography,2024,,,,,,,,,,Proceeding,,proceedings of the workshop on encrypted computing and amp applied homomorphic cryptography,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 6th International Conference on Modern Educational Technology,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on modern educational technology,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 10th Workshop on Micro Aerial Vehicle Networks, Systems, and Applications",2024,,,,,,,,,,Proceeding,,proceedings of the workshop on micro aerial vehicle networks systems and applications,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,2024,,,,,,,,,,Proceeding,,proceedings of the on acm sigsac conference on computer and communications security,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 1st International Workshop on Designing Software,2024,,,,,,,,,,Proceeding,,proceedings of the international workshop on designing software,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,2024,,,,,,,,,,Proceeding,,proceedings of the acm asia conference on computer and communications security,other,,,0,,other_document_type,not_conference_or_journal
,,,Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,2024,,,,,,,,,,Proceeding,,extended abstracts of the chi conference on human factors in computing systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 17th European Workshop on Systems Security,2024,,,,,,,,,,Proceeding,,proceedings of the european workshop on systems security,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 18th International Conference on Underwater Networks &amp; Systems,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on underwater networks and amp systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 32nd International Conference on Real-Time Networks and Systems,2024,,,,,,,,,,Proceeding,,proceedings of the international conference on real time networks and systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 International Conference on Hardware/Software Codesign and System Synthesis,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on hardware software codesign and system synthesis,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2023 Workshop on Compilers, Deployment, and Tooling for Edge AI",2023,,,,,,,,,,Proceeding,,proceedings of the workshop on compilers deployment and tooling for edge ai,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 4",2023,,,,,,,,,,Proceeding,,proceedings of the acm international conference on architectural support for programming languages and operating systems volume 4,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 ACM International Workshop on System-Level Interconnect Pathfinding,2023,,,,,,,,,,Proceeding,,proceedings of the acm international workshop on system level interconnect pathfinding,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 5th International Conference on Information Management &amp; Machine Intelligence,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on information management and amp machine intelligence,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the International Conference on Embedded Software,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on embedded software,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",2023,,,,,,,,,,Proceeding,,proceedings of the international conference on compilers architecture and synthesis for embedded systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the ACM Turing Award Celebration Conference - China 2023,2023,,,,,,,,,,Proceeding,,proceedings of the acm turing award celebration conference china,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 7th International Conference on Computational Biology and Bioinformatics,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on computational biology and bioinformatics,other,,,0,,other_document_type,not_conference_or_journal
,,,Adjunct Proceedings of the 2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing &amp; the 2023 ACM International Symposium on Wearable Computing,2023,,,,,,,,,,Proceeding,,adjunct proceedings of the acm international joint conference on pervasive and ubiquitous computing and amp the acm international symposium on wearable computing,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2023 12th International Conference on Networks, Communication and Computing",2023,,,,,,,,,,Proceeding,,proceedings of the international conference on networks communication and computing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 Workshop on Attacks and Solutions in Hardware Security,2023,,,,,,,,,,Proceeding,,proceedings of the workshop on attacks and solutions in hardware security,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2023 5th International Conference on Internet of Things, Automation and Artificial Intelligence",2023,,,,,,,,,,Proceeding,,proceedings of the international conference on internet of things automation and artificial intelligence,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 13th International Conference on Communication and Network Security,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on communication and network security,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of Cyber-Physical Systems and Internet of Things Week 2023,2023,,,,,,,,,,Proceeding,,proceedings of cyber physical systems and internet of things week,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 6th International Conference on Information Technologies and Electrical Engineering,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on information technologies and electrical engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 52nd International Conference on Parallel Processing Workshops,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on parallel processing workshops,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 4th International Conference on Computer Science and Management Technology,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on computer science and management technology,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the Platform for Advanced Scientific Computing Conference,2023,,,,,,,,,,Proceeding,,proceedings of the platform for advanced scientific computing conference,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2023 4th International Conference on Computing, Networks and Internet of Things",2023,,,,,,,,,,Proceeding,,proceedings of the international conference on computing networks and internet of things,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 International Conference on Intelligent Sensing and Industrial Automation,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on intelligent sensing and industrial automation,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 6th International Conference on Robot Systems and Applications,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on robot systems and applications,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 International Conference on AI and Metaverse in Supply Chain Management,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on ai and metaverse in supply chain management,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2023 International Conference on Electronics, Computers and Communication Technology",2023,,,,,,,,,,Proceeding,,proceedings of the international conference on electronics computers and communication technology,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the SC '23 Workshops of the International Conference on High Performance Computing, Network, Storage, and Analysis",2023,,,,,,,,,,Proceeding,,proceedings of the sc 23 workshops of the international conference on high performance computing network storage and analysis,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 12th International Conference on Software and Computer Applications,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on software and computer applications,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the Winter Simulation Conference,2023,,,,,,,,,,Proceeding,,proceedings of the winter simulation conference,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 6th International Conference on Artificial Intelligence and Pattern Recognition,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on artificial intelligence and pattern recognition,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 56th Annual IEEE/ACM International Symposium on Microarchitecture,2023,,,,,,,,,,Proceeding,,proceedings of the annual ieee acm international symposium on microarchitecture,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 4th International Conference on Big Data Economy and Information Management,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on big data economy and information management,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2023 6th International Conference on Electronics, Communications and Control Engineering",2023,,,,,,,,,,Proceeding,,proceedings of the international conference on electronics communications and control engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 13th International Conference on Biomedical Engineering and Technology,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on biomedical engineering and technology,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 26th International Symposium on Research in Attacks, Intrusions and Defenses",2023,,,,,,,,,,Proceeding,,proceedings of the international symposium on research in attacks intrusions and defenses,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,2023,,,,,,,,,,Proceeding,,proceedings of the acm sigsoft international symposium on software testing and analysis,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the DroneSE and RAPIDO: System Engineering for constrained embedded systems,2023,,,,,,,,,,Proceeding,,proceedings of the dronese and rapido system engineering for constrained embedded systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 International Conference on Neuromorphic Systems,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on neuromorphic systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 18th ACM International Symposium on Nanoscale Architectures,2023,,,,,,,,,,Proceeding,,proceedings of the acm international symposium on nanoscale architectures,other,,,0,,other_document_type,not_conference_or_journal
,,,SIGGRAPH Asia 2023 Conference Papers,2023,,,,,,,,,,Proceeding,,siggraph asia conference papers,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 19th Workshop on Hot Topics in Operating Systems,2023,,,,,,,,,,Proceeding,,proceedings of the workshop on hot topics in operating systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 24th International Conference on Computer Systems and Technologies,2023,,,,,,,,,,Proceeding,,proceedings of the international conference on computer systems and technologies,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2023 14th International Conference on E-business, Management and Economics",2023,,,,,,,,,,Proceeding,,proceedings of the international conference on e business management and economics,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 24th International Middleware Conference,2023,,,,,,,,,,Proceeding,,proceedings of the international middleware conference,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the Augmented Humans International Conference 2023,2023,,,,,,,,,,Proceeding,,proceedings of the augmented humans international conference,other,,,0,,other_document_type,not_conference_or_journal
,,,Adjunct Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,2023,,,,,,,,,,Proceeding,,adjunct proceedings of the annual acm symposium on user interface software and technology,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2nd Workshop on Sustainable Computer Systems,2023,,,,,,,,,,Proceeding,,proceedings of the workshop on sustainable computer systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 21st ACM/IEEE International Symposium on Code Generation and Optimization,2023,,,,,,,,,,Proceeding,,proceedings of the acm ieee international symposium on code generation and optimization,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,2023,,,,,,,,,,Proceeding,,proceedings of the chi conference on human factors in computing systems,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the Seventeenth International Conference on Tangible, Embedded, and Embodied Interaction",2023,,,,,,,,,,Proceeding,,proceedings of the seventeenth international conference on tangible embedded and embodied interaction,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 41st IEEE/ACM International Conference on Computer-Aided Design,2022,,,,,,,,,,Proceeding,,proceedings of the ieee acm international conference on computer aided design,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the Second International Conference on AI-ML Systems,2022,,,,,,,,,,Proceeding,,proceedings of the second international conference on ai ml systems,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2022 4th International Conference on Robotics, Intelligent Control and Artificial Intelligence",2022,,,,,,,,,,Proceeding,,proceedings of the international conference on robotics intelligent control and artificial intelligence,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2022 10th International Conference on Information Technology: IoT and Smart City,2022,,,,,,,,,,Proceeding,,proceedings of the international conference on information technology iot and smart city,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2022 6th International Conference on Computer Science and Artificial Intelligence,2022,,,,,,,,,,Proceeding,,proceedings of the international conference on computer science and artificial intelligence,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2022 International Conference on Computer, Control, Informatics and Its Applications",2022,,,,,,,,,,Proceeding,,proceedings of the international conference on computer control informatics and its applications,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 2022 3rd International Conference on Control, Robotics and Intelligent System",2022,,,,,,,,,,Proceeding,,proceedings of the international conference on control robotics and intelligent system,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 3rd International Conference on Industrial Control Network and System Engineering Research,2022,,,,,,,,,,Proceeding,,proceedings of the international conference on industrial control network and system engineering research,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,2022,,,,,,,,,,Proceeding,,proceedings of the acm conference on embedded networked sensor systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 18th International Conference on emerging Networking EXperiments and Technologies,2022,,,,,,,,,,Proceeding,,proceedings of the international conference on emerging networking experiments and technologies,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 24th ACM/IEEE Workshop on System Level Interconnect Pathfinding,2022,,,,,,,,,,Proceeding,,proceedings of the acm ieee workshop on system level interconnect pathfinding,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2022 6th International Conference on Video and Image Processing,2022,,,,,,,,,,Proceeding,,proceedings of the international conference on video and image processing,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the International Conference on Parallel Architectures and Compilation Techniques,2022,,,,,,,,,,Proceeding,,proceedings of the international conference on parallel architectures and compilation techniques,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the International Conference on High Performance Computing, Networking, Storage and Analysis",2022,,,,,,,,,,Proceeding,,proceedings of the international conference on high performance computing networking storage and analysis,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 23rd ACM/IFIP International Middleware Conference,2022,,,,,,,,,,Proceeding,,proceedings of the acm ifip international middleware conference,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 19th International Conference on Managed Programming Languages and Runtimes,2022,,,,,,,,,,Proceeding,,proceedings of the international conference on managed programming languages and runtimes,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2022 International Workshop on Control Sciences and Automation,2022,,,,,,,,,,Proceeding,,proceedings of the international workshop on control sciences and automation,other,,,0,,other_document_type,not_conference_or_journal
Zachary Lasiuk; Pareena Verma; Jason Andrews,Zachary Lasiuk; Pareena Verma; Jason Andrews,,The Insider’s Guide to Arm Cortex-M Development: Leverage embedded software development tools and examples to become an efficient Cortex-M developer,2022,Packt Publishing,,,,,,,,,Book,,the insider s guide to arm cortex m development leverage embedded software development tools and examples to become an efficient cortex m developer,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,2016,,,,,,,,,,Proceeding,,proceedings of the ieee acm international conference on automated software engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,"Proceedings of the 17th ACM SIGPLAN/SIGBED Conference on Languages, Compilers, Tools, and Theory for Embedded Systems",2016,,,,,,,,,,Proceeding,,proceedings of the acm sigplan sigbed conference on languages compilers tools and theory for embedded systems,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,2016,,,,,,,,,,Proceeding,,proceedings of the acm sigsoft international symposium on foundations of software engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2016 ACM SIGPLAN International Conference on Software Language Engineering,2016,,,,,,,,,,Proceeding,,proceedings of the acm sigplan international conference on software language engineering,other,,,0,,other_document_type,not_conference_or_journal
,,,Proceedings of the 2024 International Symposium on Physical Design,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 21st ACM International Conference on Computing Frontiers: Workshops and Special Sessions,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 28th Asia and South Pacific Design Automation Conference,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the Great Lakes Symposium on VLSI 2024,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2024 International Symposium on Integrated Circuit Design and Integrated Systems,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2024 8th International Conference on Electronic Information Technology and Computer Engineering,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 13th International Symposium on Highly Efficient Accelerators and Reconfigurable Technologies,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2024 4th International Conference on Control and Intelligent Robotics,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2023 International Conference on Advances in Artificial Intelligence and Applications,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 6th International Conference on High Performance Compilation, Computing and Communications",2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 3rd International Conference on Computer, Artificial Intelligence and Control Engineering",2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2023 International Conference on Information Education and Artificial Intelligence,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2023 7th International Conference on Deep Learning Technologies,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 27th Asia and South Pacific Design Automation Conference,2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 2024 International Conference on Virtual Reality, Image and Signal Processing",2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2024 ACM/SIGDA International Symposium on Field Programmable Gate Arrays,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2022 5th Artificial Intelligence and Cloud Computing Conference,2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,Companion of the 2024 International Conference on Management of Data,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 21st ACM International Conference on Computing Frontiers,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 8th International Conference on Cyber Security and Information Engineering,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 2023 7th International Conference on High Performance Compilation, Computing and Communications",2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2023 7th International Conference on Electronic Information Technology and Computer Engineering,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering,2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 52nd International Conference on Parallel Processing,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 38th ACM International Conference on Supercomputing,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 1",2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2024 ACM Symposium on Cloud Computing,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 14th International Symposium on Highly Efficient Accelerators and Reconfigurable Technologies,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 53rd International Conference on Parallel Processing,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 50th Annual International Symposium on Computer Architecture,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 34th International Workshop on Rapid System Prototyping,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 32nd ACM SIGPLAN International Conference on Compiler Construction,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3",2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",2024,,2,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3",2024,,3,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 25th Asia and South Pacific Design Automation Conference,2020,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 51st International Conference on Parallel Processing,2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2022 2nd International Conference on Control and Intelligent Robotics,2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2022 International Symposium on Memory Systems,2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,"Proceedings of the 28th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2023 3rd International Conference on Robotics and Control Engineering,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 37th ACM International Conference on Supercomputing,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2023 ACM Asia Conference on Computer and Communications Security,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 22nd ACM Workshop on Hot Topics in Networks,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,2023,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2022 5th International Conference on Robot Systems and Applications,2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 29th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming,2024,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 17th ACM International Symposium on Nanoscale Architectures,2022,,,,,,,,,,Proceeding,,,,,,,,,
,,,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,2021,,,,,,,,,,Proceeding,,,,,,,,,
