Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
S. -Y. Yu; R. Yasaei; Q. Zhou; T. Nguyen; M. A. Al Faruque,S. -Y. Yu; R. Yasaei; Q. Zhou; T. Nguyen; M. A. Al Faruque,,"HW2VEC: a Graph Learning Tool for Automating Hardware Security,",2021,2021 IEEE International Symposium on Hardware Oriented Security and Trust (HOST),,,,13,23,,10.1109/HOST49136.2021.9702281,https://doi.org/10.1109/HOST49136.2021.9702281,Conference Paper
P. Shrestha; S. Phatharodom; I. Savidis,P. Shrestha; S. Phatharodom; I. Savidis,,"Graph Representation Learning for Gate Arrival Time Prediction,",2022,2022 ACM/IEEE 4th Workshop on Machine Learning for CAD (MLCAD),,,,127,133,,10.1109/MLCAD55463.2022.9900101,https://doi.org/10.1109/MLCAD55463.2022.9900101,Conference Paper
A. P. Chavan et al.,A. P. Chavan et al.,,"A Novel TriNet Architecture for Enhanced Analog IC Design Automation,",2024,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,32,11,,2046,2059,,10.1109/TVLSI.2024.3452032,https://doi.org/10.1109/TVLSI.2024.3452032,Journal Article
H. Chen et al.,H. Chen et al.,,"MAGICAL: An Open- Source Fully Automated Analog IC Layout System from Netlist to GDSII,",2021,IEEE Design & Test,38,2,,19,26,,10.1109/MDAT.2020.3024153,https://doi.org/10.1109/MDAT.2020.3024153,Journal Article
O. V. S. Shashank Ram; S. Saurabh,O. V. S. Shashank Ram; S. Saurabh,,"Modeling Multiple-Input Switching in Timing Analysis Using Machine Learning,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,4,,723,734,,10.1109/TCAD.2020.3009624,https://doi.org/10.1109/TCAD.2020.3009624,Journal Article
G. Parthasarathy; B. Kumar; S. Nanda; P. Choudhary; S. Rajakumar,G. Parthasarathy; B. Kumar; S. Nanda; P. Choudhary; S. Rajakumar,,"Optimizing ML Classification Models for Constrained EDA Resource Budgets,",2022,2022 IEEE 40th International Conference on Computer Design (ICCD),,,,223,230,,10.1109/ICCD56317.2022.00041,https://doi.org/10.1109/ICCD56317.2022.00041,Conference Paper
W. L. Neto; Y. Li; P. -E. Gaillardon; C. Yu,W. L. Neto; Y. Li; P. -E. Gaillardon; C. Yu,,"FlowTune: End-to-End Automatic Logic Optimization Exploration via Domain-Specific Multiarmed Bandit,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,6,,1912,1925,,10.1109/TCAD.2022.3213611,https://doi.org/10.1109/TCAD.2022.3213611,Journal Article
Ö. B. Peker; E. Toker; D. Öcal; T. Dalyan; E. Afacan; Y. D. Gökdel,Ö. B. Peker; E. Toker; D. Öcal; T. Dalyan; E. Afacan; Y. D. Gökdel,,"A Fully Automated SPICE-Compatible Netlist Extraction From Image Using Deep Learning and Image Preprocessing Techniques,",2026,IEEE Access,14,,,19750,19765,,10.1109/ACCESS.2026.3656316,https://doi.org/10.1109/ACCESS.2026.3656316,Journal Article
G. Urgese et al.,G. Urgese et al.,,"The inNuCE Research Infrastructure and the Neuromorphic MLOps for AIoT prototyping,",2026,IEEE Internet of Things Journal,,,,,,,10.1109/JIOT.2026.3663902,https://doi.org/10.1109/JIOT.2026.3663902,Journal Article
S. Prakash et al.,S. Prakash et al.,,"CFU Playground: Full-Stack Open-Source Framework for Tiny Machine Learning (TinyML) Acceleration on FPGAs,",2023,2023 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),,,,157,167,,10.1109/ISPASS57527.2023.00024,https://doi.org/10.1109/ISPASS57527.2023.00024,Conference Paper
A. B. Kahng,A. B. Kahng,,"INVITED: Reducing Time and Effort in IC Implementation: A Roadmap of Challenges and Solutions,",2018,2018 55th ACM/ESDA/IEEE Design Automation Conference (DAC),,,,1,6,,10.1109/DAC.2018.8465871,https://doi.org/10.1109/DAC.2018.8465871,Conference Paper
A. Vagenas; D. Garyfallou; N. Evmorfopoulos; G. Stamoulis,A. Vagenas; D. Garyfallou; N. Evmorfopoulos; G. Stamoulis,,"Advanced gate-level glitch modeling using ANNs,",2024,2024 61st ACM/IEEE Design Automation Conference (DAC),,,,1,6,,,,Conference Paper
D. Kim; S. -Y. Lee; K. Min; S. Kang,D. Kim; S. -Y. Lee; K. Min; S. Kang,,"Construction of Realistic Place-and-Route Benchmarks for Machine Learning Applications,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,6,,2030,2042,,10.1109/TCAD.2022.3209530,https://doi.org/10.1109/TCAD.2022.3209530,Journal Article
A. P. Chavan et al.,A. P. Chavan et al.,,"Integrating Neural Network Models for Advanced Automation in Analog Amplifier Circuit Design,",2024,2024 IEEE International Conference on Electronics,,,,1,6,,10.1109/CONECCT62155.2024.10677072,https://doi.org/10.1109/CONECCT62155.2024.10677072,Conference Paper
Q. Xu et al.,Q. Xu et al.,,"GoodFloorplan: Graph Convolutional Network and Reinforcement Learning-Based Floorplanning,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,10,,3492,3502,,10.1109/TCAD.2021.3131550,https://doi.org/10.1109/TCAD.2021.3131550,Journal Article
B. Nath; S. Barai; P. Kumar; B. Srinivasan; N. R. Mohapatra,B. Nath; S. Barai; P. Kumar; B. Srinivasan; N. R. Mohapatra,,"A Novel ML Augmented DRC Framework for Identification of Yield Detractor Patterns,",2021,IEEE Transactions on Semiconductor Manufacturing,34,3,,379,386,,10.1109/TSM.2021.3083973,https://doi.org/10.1109/TSM.2021.3083973,Journal Article
S. Liu; Z. Wang; F. Liu; Y. Lin; B. Yu; M. D. F. Wong,S. Liu; Z. Wang; F. Liu; Y. Lin; B. Yu; M. D. F. Wong,,"Sign-Off Timing Considerations via Concurrent Routing Topology Optimization,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,5,,1942,1953,,10.1109/TCAD.2024.3506216,https://doi.org/10.1109/TCAD.2024.3506216,Journal Article
Y. Ye; T. Chen; Y. Gao; H. Yan; B. Yu; L. Shi,Y. Ye; T. Chen; Y. Gao; H. Yan; B. Yu; L. Shi,,"Aging-Aware Critical Path Selection via Graph Attention Networks,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,12,,5006,5019,,10.1109/TCAD.2023.3276944,https://doi.org/10.1109/TCAD.2023.3276944,Journal Article
Z. Xie et al.,Z. Xie et al.,,"Preplacement Net Length and Timing Estimation by Customized Graph Neural Network,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,11,,4667,4680,,10.1109/TCAD.2022.3149977,https://doi.org/10.1109/TCAD.2022.3149977,Journal Article
Z. Chen; J. Gu,Z. Chen; J. Gu,,"High-Throughput Dynamic Time Warping Accelerator for Time-Series Classification With Pipelined Mixed-Signal Time-Domain Computing,",2021,IEEE Journal of Solid-State Circuits,56,2,,624,635,,10.1109/JSSC.2020.3021066,https://doi.org/10.1109/JSSC.2020.3021066,Journal Article
X. Yang; J. Gao; Y. Wang; X. Zhang,X. Yang; J. Gao; Y. Wang; X. Zhang,,"ZeroSim: Zero-Shot Analog Circuit Evaluation with Unified Transformer Embeddings,",2025,2025 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD66269.2025.11240890,https://doi.org/10.1109/ICCAD66269.2025.11240890,Conference Paper
P. Shrestha; I. Savidis,P. Shrestha; I. Savidis,,"Representation Learning for Digital Integrated Circuit Design Automation,",2025,2025 IEEE 43rd International Conference on Computer Design (ICCD),,,,867,871,,10.1109/ICCD65941.2025.00127,https://doi.org/10.1109/ICCD65941.2025.00127,Conference Paper
C. -C. Chang; J. Pan; Z. Xie; J. Hu; Y. Chen,C. -C. Chang; J. Pan; Z. Xie; J. Hu; Y. Chen,,"Rethink before Releasing your Model: ML Model Extraction Attack in EDA,",2023,2023 28th Asia and South Pacific Design Automation Conference (ASP-DAC),,,,252,257,,,,Conference Paper
B. A. Himabindu; K. Uday Sai,B. A. Himabindu; K. Uday Sai,,"Design and Implementation of a 1x3 Router: From RTL to GDS II,",2025,2025 6th International Conference on Smart Electronics and Communication (ICOSEC),,,,1,6,,10.1109/ICOSEC67334.2025.11459715,https://doi.org/10.1109/ICOSEC67334.2025.11459715,Conference Paper
D. Agogo-Mawuli; S. Lee; H. Barua; S. Chowdhury; B. Ozpineci; H. A. Mantooth,D. Agogo-Mawuli; S. Lee; H. Barua; S. Chowdhury; B. Ozpineci; H. A. Mantooth,,"LAREL: A Reliability-Aware Framework for Power Module Layout Optimization Under Dynamic Drive Cycle Stress,",2025,2025 IEEE Design Methodologies Conference (DMC),,,,1,6,,10.1109/DMC65958.2025.11475300,https://doi.org/10.1109/DMC65958.2025.11475300,Conference Paper
F. P. Font; S. Fossati; M. Tonnarelli; D. A. Tamburri; R. Engelen,F. P. Font; S. Fossati; M. Tonnarelli; D. A. Tamburri; R. Engelen,,"Engineering AIOps Controllers for High-Performance Software Operations: an Action Design Research Study,",2026,IEEE Transactions on Cloud Computing,,,,,,,10.1109/TCC.2026.3681823,https://doi.org/10.1109/TCC.2026.3681823,Journal Article
J. S. A. N; V. S. M. Vuppalapati; S. D. Modi; R. Vishwakarma; H. Shah,J. S. A. N; V. S. M. Vuppalapati; S. D. Modi; R. Vishwakarma; H. Shah,,"SpeechCraft: An Integrated Data Generation Pipeline from Videos for LLM Finetuning,",2024,2024 29th International Conference on Automation and Computing (ICAC),,,,1,6,,10.1109/ICAC61394.2024.10718747,https://doi.org/10.1109/ICAC61394.2024.10718747,Conference Paper
C. Jeon; D. Won; J. Yang; K. -M. Choi; T. Kim,C. Jeon; D. Won; J. Yang; K. -M. Choi; T. Kim,,"BOXGB: Design Parameter Optimization with Systematic Integration of Bayesian Optimization and XGBoost,",2024,2024 Design,,,,1,6,,10.23919/DATE58400.2024.10546732,https://doi.org/10.23919/DATE58400.2024.10546732,Conference Paper
K. Gonzalez; S. Johnson; W. Saadeh,K. Gonzalez; S. Johnson; W. Saadeh,,"Design Framework to realize on-chip ML Accelerator: Energy Efficient Seizure Prediction Processor using Neural Network,",2025,2025 IEEE World AI IoT Congress (AIIoT),,,,0826,0831,,10.1109/AIIoT65859.2025.11105300,https://doi.org/10.1109/AIIoT65859.2025.11105300,Conference Paper
Z. Xiong; R. S. Rajarathnam; D. Z. Pan,Z. Xiong; R. S. Rajarathnam; D. Z. Pan,,"A Data-Driven, Congestion-Aware and Open-Source Timing-Driven FPGA Placer Accelerated by GPUs,",2024,2024 IEEE 32nd Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),,,,115,125,,10.1109/FCCM60383.2024.00022,https://doi.org/10.1109/FCCM60383.2024.00022,Conference Paper
K. Xiao et al.,K. Xiao et al.,,"A Security-Driven FPGA Application Development Workflow Based on GCN Algorithm,",2024,2024 2nd International Symposium of Electronics Design Automation (ISEDA),,,,796,803,,10.1109/ISEDA62518.2024.10617575,https://doi.org/10.1109/ISEDA62518.2024.10617575,Conference Paper
A. Awasthi; S. Grace; R. Yadav; L. Bhanu Murthy Neti; S. S. Dan,A. Awasthi; S. Grace; R. Yadav; L. Bhanu Murthy Neti; S. S. Dan,,"Physics-Informed Data-Driven KNN Methodology of Modeling NCFETs for Superior Circuit Performance,",2025,IEEE Transactions on Electron Devices,72,11,,5878,5884,,10.1109/TED.2025.3611913,https://doi.org/10.1109/TED.2025.3611913,Journal Article
K. Liu; B. Tan; R. Karri; S. Garg,K. Liu; B. Tan; R. Karri; S. Garg,,"Training Data Poisoning in ML-CAD: Backdooring DL-Based Lithographic Hotspot Detectors,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,6,,1244,1257,,10.1109/TCAD.2020.3024780,https://doi.org/10.1109/TCAD.2020.3024780,Journal Article
S. Temple; W. L. Neto; A. Snelgrove; X. Tang; P. -E. Gaillardon,S. Temple; W. L. Neto; A. Snelgrove; X. Tang; P. -E. Gaillardon,,"Invited: Getting the Most out of your Circuits with Heterogeneous Logic Synthesis,",2021,2021 58th ACM/IEEE Design Automation Conference (DAC),,,,1331,1334,,10.1109/DAC18074.2021.9586215,https://doi.org/10.1109/DAC18074.2021.9586215,Conference Paper
Y. -C. Lu; W. -T. Chan; V. Khandelwal; S. K. Lim,Y. -C. Lu; W. -T. Chan; V. Khandelwal; S. K. Lim,,"Driving Early Physical Synthesis Exploration through End-of-Flow Total Power Prediction,",2022,2022 ACM/IEEE 4th Workshop on Machine Learning for CAD (MLCAD),,,,97,102,,10.1109/MLCAD55463.2022.9900103,https://doi.org/10.1109/MLCAD55463.2022.9900103,Conference Paper
W. Wu; C. Chen; Y. Wu; H. Wang,W. Wu; C. Chen; Y. Wu; H. Wang,,"MAD-Flow: An Efficient Deployment Flow for Memory-Bank-Based Anomaly Detection on FPGA-SoCs,",2025,IEEE Internet of Things Journal,12,22,,48416,48427,,10.1109/JIOT.2025.3605880,https://doi.org/10.1109/JIOT.2025.3605880,Journal Article
R. Zhou; K. -S. Chong; B. -H. Gwee; J. S. Chang,R. Zhou; K. -S. Chong; B. -H. Gwee; J. S. Chang,,"Quasi-delay-insensitive compiler: Automatic synthesis of asynchronous circuits from verilog specifications,",2011,2011 IEEE 54th International Midwest Symposium on Circuits and Systems (MWSCAS),,,,1,4,,10.1109/MWSCAS.2011.6026577,https://doi.org/10.1109/MWSCAS.2011.6026577,Conference Paper
L. Deng; C. Yan; C. Li; Z. Chen; W. Shan,L. Deng; C. Yan; C. Li; Z. Chen; W. Shan,,"Efficient Hold Buffer Optimization by Supply Noise-Aware Dynamic Timing Analysis,",2025,2025 Design,,,,1,7,,10.23919/DATE64628.2025.10993269,https://doi.org/10.23919/DATE64628.2025.10993269,Conference Paper
P. P. Shah; J. Munjani; D. Vyas; A. Sharma,P. P. Shah; J. Munjani; D. Vyas; A. Sharma,,"Review of Cutting-Edge Latest Trends and Innovations in Low-Power VLSI Physical Design Techniques for Next-Gen AI/ML Hardware,",2025,2025 5th Asian Conference on Innovation in Technology (ASIANCON),,,,1,8,,10.1109/ASIANCON66527.2025.11280810,https://doi.org/10.1109/ASIANCON66527.2025.11280810,Conference Paper
S. S. H. Ng; M. Walter; J. Drewniok; S. Hofmann; R. Wille; K. Walus,S. S. H. Ng; M. Walter; J. Drewniok; S. Hofmann; R. Wille; K. Walus,,"Building a Machine Learning Accelerator with Silicon Dangling Bonds: From Verilog to Quantum Dot Layout,",2025,2025 IEEE 25th International Conference on Nanotechnology (NANO),,,,483,488,,10.1109/NANO63165.2025.11113747,https://doi.org/10.1109/NANO63165.2025.11113747,Conference Paper
V. G. S; A. K. K; N. S; V. R,V. G. S; A. K. K; N. S; V. R,,"Random Forest Assisted Floorplanning Optimization in VLSI Design,",2025,2025 Modern Electronics Devices and Intelligent Communication Systems (MEDCOM),,,,863,867,,10.1109/MEDCOM67532.2025.11405215,https://doi.org/10.1109/MEDCOM67532.2025.11405215,Conference Paper
Z. Wang et al.,Z. Wang et al.,,"PipeFL: Hardware/Software co-Design of an FPGA Accelerator for Federated Learning,",2022,IEEE Access,10,,,98649,98661,,10.1109/ACCESS.2022.3206785,https://doi.org/10.1109/ACCESS.2022.3206785,Journal Article
W. Fang et al.,W. Fang et al.,,"Transferable Presynthesis PPA Estimation for RTL Designs With Data Augmentation Techniques,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,1,,200,213,,10.1109/TCAD.2024.3420904,https://doi.org/10.1109/TCAD.2024.3420904,Journal Article
P. Shrestha; I. Savidis,P. Shrestha; I. Savidis,,"Graph Representation Learning for Parasitic Impedance Prediction of the Interconnect,",2023,2023 IEEE International Symposium on Circuits and Systems (ISCAS),,,,1,5,,10.1109/ISCAS46773.2023.10181447,https://doi.org/10.1109/ISCAS46773.2023.10181447,Conference Paper
V. A. Chhabria et al.,V. A. Chhabria et al.,,"Strengthening the Foundations of Ic Physical Design and Ml Eda Research,",2024,2024 ACM/IEEE International Conference On Computer Aided Design (ICCAD),,,,01,09,,,,Conference Paper
Y. Xiong et al.,Y. Xiong et al.,,"MP3: Mixed-Precision Pipeline Parallelism Framework for Heterogeneous Edge Devices,",2026,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,,,,,,10.1109/TCAD.2026.3663279,https://doi.org/10.1109/TCAD.2026.3663279,Journal Article
U. F. Siddiqi; S. M. Sait,U. F. Siddiqi; S. M. Sait,,"A Mini-Review of Methods for Forecasting Post Routing Congestion from Placement in FPGA Physical Design,",2025,2025 6th International Conference on Artificial Intelligence,,,,281,290,,10.1109/AIRC64931.2025.11077527,https://doi.org/10.1109/AIRC64931.2025.11077527,Conference Paper
J. Jung; A. B. Kahng; R. Varadarajan; Z. Wang,J. Jung; A. B. Kahng; R. Varadarajan; Z. Wang,,"IEEE CEDA DATC: Expanding Research Foundations for IC Physical Design and ML-Enabled EDA,",2022,2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,8,,,,Conference Paper
D. S. Lopera; L. Servadei; V. P. Kasi; S. Prebeck; W. Ecker,D. S. Lopera; L. Servadei; V. P. Kasi; S. Prebeck; W. Ecker,,"RTL Delay Prediction Using Neural Networks,",2021,2021 IEEE Nordic Circuits and Systems Conference (NorCAS),,,,1,7,,10.1109/NorCAS53631.2021.9599868,https://doi.org/10.1109/NorCAS53631.2021.9599868,Conference Paper
Q. Zhou et al.,Q. Zhou et al.,,"RollPlace: Improving Macro Placement via Monte Carlo Rollout Search,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,,,,,,10.1109/TCAD.2025.3635566,https://doi.org/10.1109/TCAD.2025.3635566,Journal Article
X. Yin et al.,X. Yin et al.,,"Ferroelectric Ternary Content Addressable Memories for Energy-Efficient Associative Search,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,4,,1099,1112,,10.1109/TCAD.2022.3197694,https://doi.org/10.1109/TCAD.2022.3197694,Journal Article
P. Cao et al.,P. Cao et al.,,"An Optimization-Aware Prerouting Timing Prediction Framework Based on Multimodal Learning,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,10,,3896,3909,,10.1109/TCAD.2025.3547806,https://doi.org/10.1109/TCAD.2025.3547806,Journal Article
H. Geng; Y. Ma; Q. Xu; J. Miao; S. Roy; B. Yu,H. Geng; Y. Ma; Q. Xu; J. Miao; S. Roy; B. Yu,,"High-Speed Adder Design Space Exploration via Graph Neural Processes,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,8,,2657,2670,,10.1109/TCAD.2021.3114262,https://doi.org/10.1109/TCAD.2021.3114262,Journal Article
F. Khalid; S. R. Hasan; S. Zia; O. Hasan; F. Awwad; M. Shafique,F. Khalid; S. R. Hasan; S. Zia; O. Hasan; F. Awwad; M. Shafique,,"MacLeR: Machine Learning-Based Runtime Hardware Trojan Detection in Resource-Constrained IoT Edge Devices,",2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,39,11,,3748,3761,,10.1109/TCAD.2020.3012236,https://doi.org/10.1109/TCAD.2020.3012236,Journal Article
J. P. Jones; P. Van Kempen; D. Mueller-Gritschneder,J. P. Jones; P. Van Kempen; D. Mueller-Gritschneder,,"Vicuna2.0: RISC-V Embedded Vector Unit with Half-Precision Floating-Point Support for TinyML,",2025,2025 Austrochip Workshop on Microelectronics (Austrochip),,,,69,72,,10.1109/Austrochip67945.2025.11183718,https://doi.org/10.1109/Austrochip67945.2025.11183718,Conference Paper
Y. Qiu et al.,Y. Qiu et al.,,"AiEDA-2.0: An Open-source AI-Aided Design (AAD) Library for Design-to-Vector,",2025,2025 International Symposium of Electronics Design Automation (ISEDA),,,,5,6,,10.1109/ISEDA65950.2025.11101240,https://doi.org/10.1109/ISEDA65950.2025.11101240,Conference Paper
S. Deo; A. Vass-Várnai; P. G. Szabó,S. Deo; A. Vass-Várnai; P. G. Szabó,,"Integrated Modelling Framework for 3D IC Package Thermal Design,",2025,2025 31st International Workshop on Thermal Investigations of ICs and Systems (THERMINIC),,,,1,6,,10.1109/THERMINIC65879.2025.11216873,https://doi.org/10.1109/THERMINIC65879.2025.11216873,Conference Paper
T. Lan; R. Shafik; A. Yakovlev,T. Lan; R. Shafik; A. Yakovlev,,"Event-Driven Digital-Time-Domain Inference Architectures for Tsetlin Machines,",2025,2025 International Symposium on the Tsetlin Machine (ISTM),,,,37,43,,10.1109/ISTM67926.2025.00014,https://doi.org/10.1109/ISTM67926.2025.00014,Conference Paper
C. Tan; C. Xie; A. Li; K. J. Barker; A. Tumeo,C. Tan; C. Xie; A. Li; K. J. Barker; A. Tumeo,,"OpenCGRA: An Open-Source Unified Framework for Modeling, Testing, and Evaluating CGRAs,",2020,2020 IEEE 38th International Conference on Computer Design (ICCD),,,,381,388,,10.1109/ICCD50377.2020.00070,https://doi.org/10.1109/ICCD50377.2020.00070,Conference Paper
P. Wilson,P. Wilson,,"Beyond AI: Design Automation Futures,",2024,2024 IEEE Design Methodologies Conference (DMC),,,,1,6,,10.1109/DMC62632.2024.10812151,https://doi.org/10.1109/DMC62632.2024.10812151,Conference Paper
T. Ansell; M. Saligane,T. Ansell; M. Saligane,,"The Missing Pieces of Open Design Enablement: A Recent History of Google Efforts : lnvited Paper,",2020,2020 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,8,,,,Conference Paper
A. Dhavlle; M. M. Ahmed; N. Mansoor; K. Basu; A. Ganguly; S. M. Pudukotai Dinakarrao,A. Dhavlle; M. M. Ahmed; N. Mansoor; K. Basu; A. Ganguly; S. M. Pudukotai Dinakarrao,,"Defense Against On-Chip Trojans Enabling Traffic Analysis Attacks Based on Machine Learning and Data Augmentation,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,12,,4681,4694,,10.1109/TCAD.2023.3278618,https://doi.org/10.1109/TCAD.2023.3278618,Journal Article
F. Firouzi; S. S. R. Nakkilla; C. Fu; S. Banerjee; J. Talukdar; K. Chakrabarty,F. Firouzi; S. S. R. Nakkilla; C. Fu; S. Banerjee; J. Talukdar; K. Chakrabarty,,"LLM-AID: Leveraging Large Language Models for Rapid Domain-Specific Accelerator Development,",2024,2024 ACM/IEEE International Conference On Computer Aided Design (ICCAD),,,,1,9,,,,Conference Paper
B. Viale; B. Allard,B. Viale; B. Allard,,"Scalable and Versatile Design Guidance Tool for the ESD Robustness of Integrated Circuits - Part I,",2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,39,10,,3067,3080,,10.1109/TCAD.2019.2962120,https://doi.org/10.1109/TCAD.2019.2962120,Journal Article
J. Kelling et al.,J. Kelling et al.,,"The Artificial Scientist: in-Transit Machine Learning of Plasma Simulations,",2025,2025 IEEE International Parallel and Distributed Processing Symposium (IPDPS),,,,407,418,,10.1109/IPDPS64566.2025.00043,https://doi.org/10.1109/IPDPS64566.2025.00043,Conference Paper
R. Müller; L. Mateu; R. Brederlow,R. Müller; L. Mateu; R. Brederlow,,"Analog/Mixed-Signal Standard Cell Based Approach for Automated Circuit Generation of Neural Network Accelerators,",2023,2023 38th Conference on Design of Circuits and Integrated Systems (DCIS),,,,1,6,,10.1109/DCIS58620.2023.10335979,https://doi.org/10.1109/DCIS58620.2023.10335979,Conference Paper
S. Roy; Y. Ma; J. Miao; B. Yu,S. Roy; Y. Ma; J. Miao; B. Yu,,"A learning bridge from architectural synthesis to physical design for exploring power efficient high-performance adders,",2017,2017 IEEE/ACM International Symposium on Low Power Electronics and Design (ISLPED),,,,1,6,,10.1109/ISLPED.2017.8009168,https://doi.org/10.1109/ISLPED.2017.8009168,Conference Paper
Y. Ma; Z. Yu; B. Yu,Y. Ma; Z. Yu; B. Yu,,"CAD Tool Design Space Exploration via Bayesian Optimization,",2019,2019 ACM/IEEE 1st Workshop on Machine Learning for CAD (MLCAD),,,,1,6,,10.1109/MLCAD48534.2019.9142051,https://doi.org/10.1109/MLCAD48534.2019.9142051,Conference Paper
Y. Li; P. Zhou,Y. Li; P. Zhou,,"Fast and Accurate NoC Latency Estimation for Application-Specific Traffics via Machine Learning,",2023,IEEE Transactions on Circuits and Systems II: Express Briefs,70,9,,3569,3573,,10.1109/TCSII.2023.3258700,https://doi.org/10.1109/TCSII.2023.3258700,Journal Article
