Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
B. N. K. Reddy; Y. C. Krishna; K. Sarangam,B. N. K. Reddy; Y. C. Krishna; K. Sarangam,,"Routability-Aware FPGA Design Automation with Graph Transformer Models,",2025,2025 37th International Conference on Microelectronics (ICM),,,,1,6,,10.1109/ICM66518.2025.11322460,https://doi.org/10.1109/ICM66518.2025.11322460,Conference Paper
O. Bringmann et al.,O. Bringmann et al.,,"Automated HW/SW Co-design for Edge AI: State, Challenges and Steps Ahead: Special Session Paper,",2021,2021 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),,,,11,20,,,,Conference Paper
Y. -C. Lu; S. K. Lim,Y. -C. Lu; S. K. Lim,,"On Advancing Physical Design using Graph Neural Networks (Invited Paper),",2022,2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,7,,,,Conference Paper
A. Vagenas; D. Garyfallou; N. Evmorfopoulos; G. Stamoulis,A. Vagenas; D. Garyfallou; N. Evmorfopoulos; G. Stamoulis,,"Machine Learning-Based Timing and Power Models for Multiple-Input Switching and Glitch Effects,",2026,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,,,,,,10.1109/TCAD.2026.3651416,https://doi.org/10.1109/TCAD.2026.3651416,Journal Article
W. Raslan; Y. Ismail,W. Raslan; Y. Ismail,,"Deep Learning Autoencoder-based Compression for Current Source Model Waveforms,",2021,2021 28th IEEE International Conference on Electronics,,,,1,6,,10.1109/ICECS53924.2021.9665573,https://doi.org/10.1109/ICECS53924.2021.9665573,Conference Paper
Y. Hudumula; S. Saini; K. Lata,Y. Hudumula; S. Saini; K. Lata,,"Explainable Deep Learning for Lung Cancer Detection, Segmentation, and Classification in Digital Health Systems,",2025,2025 OITS International Conference on Information Technology (OCIT),,,,1,6,,10.1109/OCIT66168.2025.11400116,https://doi.org/10.1109/OCIT66168.2025.11400116,Conference Paper
B. Khailany et al.,B. Khailany et al.,,"Accelerating Chip Design With Machine Learning,",2020,IEEE Micro,40,6,,23,32,,10.1109/MM.2020.3026231,https://doi.org/10.1109/MM.2020.3026231,Journal Article
Z. Deng; R. Chirkova; L. A. Clevenger; W. R. Davis,Z. Deng; R. Chirkova; L. A. Clevenger; W. R. Davis,,"Privacy-Preserving Data and Model Sharing for EDA via Inference Control and DP-SGD,",2025,2025 ACM/IEEE 7th Symposium on Machine Learning for CAD (MLCAD),,,,1,7,,10.1109/MLCAD65511.2025.11189140,https://doi.org/10.1109/MLCAD65511.2025.11189140,Conference Paper
Y. H. Chan et al.,Y. H. Chan et al.,,"HHEML: Hybrid Homomorphic Encryption for Privacy-Preserving Machine Learning on Edge,",2025,2025 International Conference on Field Programmable Technology (ICFPT),,,,233,234,,10.1109/ICFPT67023.2025.00045,https://doi.org/10.1109/ICFPT67023.2025.00045,Conference Paper
J. Pan et al.,J. Pan et al.,,"Towards Collaborative Intelligence: Routability Estimation based on Decentralized Private Data,",2022,2022 59th ACM/IEEE Design Automation Conference (DAC),,,,961,966,,,,Conference Paper
