Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
H. Li et al.,H. Li et al.,,"Deep Learning Analysis for Split-Manufactured Layouts With Routing Perturbation,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,10,,1995,2008,,10.1109/TCAD.2020.3037297,https://doi.org/10.1109/TCAD.2020.3037297,Journal Article
X. Li; Y. Xu,X. Li; Y. Xu,,"An Optimized Hybrid Deep Feature Fusion Framework for Hardware-Efficient Music Retrieval,",2026,IEEE Access,14,,,52427,52439,,10.1109/ACCESS.2026.3678947,https://doi.org/10.1109/ACCESS.2026.3678947,Journal Article
J. Arias-Garcia et al.,J. Arias-Garcia et al.,,"Enhancing Performance of Gabriel Graph-Based Classifiers by a Hardware Co-Processor for Embedded System Applications,",2021,IEEE Transactions on Industrial Informatics,17,2,,1186,1196,,10.1109/TII.2020.2987329,https://doi.org/10.1109/TII.2020.2987329,Journal Article
O. Iqbal; V. I. T. Muro; S. Katoch; A. Spanias; S. Jayasuriya,O. Iqbal; V. I. T. Muro; S. Katoch; A. Spanias; S. Jayasuriya,,"Adaptive Subsampling for ROI-Based Visual Tracking: Algorithms and FPGA Implementation,",2022,IEEE Access,10,,,90507,90522,,10.1109/ACCESS.2022.3200755,https://doi.org/10.1109/ACCESS.2022.3200755,Journal Article
M. -D. Nguyen; T. Do; X. -T. Tran; Q. -T. Nguyen; C. -T. Lin,M. -D. Nguyen; T. Do; X. -T. Tran; Q. -T. Nguyen; C. -T. Lin,,"Edge AI-Brain–Computer Interfaces System: A Survey,",2025,IEEE Transactions on Neural Systems and Rehabilitation Engineering,33,,,4051,4066,,10.1109/TNSRE.2025.3618688,https://doi.org/10.1109/TNSRE.2025.3618688,Journal Article
G. Tatar; S. Bayar; İ. Çiçek,G. Tatar; S. Bayar; İ. Çiçek,,"Real-Time Multi-Learning Deep Neural Network on an MPSoC-FPGA for Intelligent Vehicles: Harnessing Hardware Acceleration With Pipeline,",2024,IEEE Transactions on Intelligent Vehicles,9,6,,5021,5032,,10.1109/TIV.2024.3398215,https://doi.org/10.1109/TIV.2024.3398215,Journal Article
B. -Y. Wu; U. Sharma; A. Rovinski; V. A. Chhabria,B. -Y. Wu; U. Sharma; A. Rovinski; V. A. Chhabria,,"OpenROAD Agent: An Intelligent Self-Correcting Script Generator for OpenROAD,",2025,2025 IEEE International Conference on LLM-Aided Design (ICLAD),,,,16,22,,10.1109/ICLAD65226.2025.00039,https://doi.org/10.1109/ICLAD65226.2025.00039,Conference Paper
D. Z. Pan; Y. -W. Chang; C. -H. Hsu; Y. Hsu,D. Z. Pan; Y. -W. Chang; C. -H. Hsu; Y. Hsu,,"From Classical Algorithms to AI: Evolving Trends in VLSI Physical Design Automation,",2025,IEEE Design & Test,42,6,,30,39,,10.1109/MDAT.2025.3603108,https://doi.org/10.1109/MDAT.2025.3603108,Journal Article
Z. Lin; Z. Peng; M. Gao; J. Zhao; Z. Lin,Z. Lin; Z. Peng; M. Gao; J. Zhao; Z. Lin,,"HIPPO: A Hierarchy-Preserving and Noise-Tolerant Pre-HLS Power Modeling Framework for FPGA,",2025,2025 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD66269.2025.11240868,https://doi.org/10.1109/ICCAD66269.2025.11240868,Conference Paper
A. Moiz; M. Hasan; O. Farooq; M. S. Hussain; Y. Himeur,A. Moiz; M. Hasan; O. Farooq; M. S. Hussain; Y. Himeur,,"FPGA-Optimized Sleep Apnea Detector From ECG Sensor Data Using DWT and Wide Neural Networks,",2025,IEEE Access,13,,,217719,217736,,10.1109/ACCESS.2025.3646596,https://doi.org/10.1109/ACCESS.2025.3646596,Journal Article
Z. Chen; H. Zhou; J. Gu,Z. Chen; H. Zhou; J. Gu,,"Digital Compatible Synthesis, Placement and Implementation of Mixed-Signal Time-Domain Computing,",2019,2019 56th ACM/IEEE Design Automation Conference (DAC),,,,1,6,,,,Conference Paper
L. Liu; T. Liu; B. Jiang; E. F. Y. Young,L. Liu; T. Liu; B. Jiang; E. F. Y. Young,,"Parmesan: Efficient Partitioning and Mapping Flow for DNN Training on General Device Topology,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,8,,2426,2439,,10.1109/TCAD.2024.3368970,https://doi.org/10.1109/TCAD.2024.3368970,Journal Article
L. Alrahis; J. Knechtel; O. Sinanoglu,L. Alrahis; J. Knechtel; O. Sinanoglu,,"Graph Neural Networks: A Powerful and Versatile Tool for Advancing Design, Reliability, and Security of ICs,",2023,2023 28th Asia and South Pacific Design Automation Conference (ASP-DAC),,,,83,90,,,,Conference Paper
W. Wang; Q. Meng; Z. Zhang,W. Wang; Q. Meng; Z. Zhang,,"A survey of FPGA placement algorithm research,",2017,2017 7th IEEE International Conference on Electronics Information and Emergency Communication (ICEIEC),,,,498,502,,10.1109/ICEIEC.2017.8076614,https://doi.org/10.1109/ICEIEC.2017.8076614,Conference Paper
C. Ma; Y. Xiao; S. Wang; J. Yu; J. Chen,C. Ma; Y. Xiao; S. Wang; J. Yu; J. Chen,,"CongestNN: An Bi-Directional Congestion Prediction Framework for Large-Scale Heterogeneous FPGAs,",2021,2021 IEEE 14th International Conference on ASIC (ASICON),,,,1,4,,10.1109/ASICON52560.2021.9620520,https://doi.org/10.1109/ASICON52560.2021.9620520,Conference Paper
M. S. Rahman et al.,M. S. Rahman et al.,,"O’Clock: Lock the Clock via Clock-gating for SoC IP Protection,",2022,2022 59th ACM/IEEE Design Automation Conference (DAC),,,,775,780,,,,Conference Paper
Y. Xing et al.,Y. Xing et al.,,"DNNVM: End-to-End Compiler Leveraging Heterogeneous Optimizations on FPGA-Based CNN Accelerators,",2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,39,10,,2668,2681,,10.1109/TCAD.2019.2930577,https://doi.org/10.1109/TCAD.2019.2930577,Journal Article
D. Peroni; M. Imani; H. Nejatollahi; N. Dutt; T. Rosing,D. Peroni; M. Imani; H. Nejatollahi; N. Dutt; T. Rosing,,"Data Reuse for Accelerated Approximate Warps,",2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,39,12,,4623,4634,,10.1109/TCAD.2020.2986128,https://doi.org/10.1109/TCAD.2020.2986128,Journal Article
S. Li; K. Xu; Y. Zhang; Z. Fu; M. Gong,S. Li; K. Xu; Y. Zhang; Z. Fu; M. Gong,,"A Clock Network Construction Algorithm Based on Deep Learning,",2025,,,,,1,6,,10.1109/CISP-BMEI68103.2025.11259191,https://doi.org/10.1109/CISP-BMEI68103.2025.11259191,Other
Z. He; L. Zhang; P. Liao; Y. Ma; B. Yu,Z. He; L. Zhang; P. Liao; Y. Ma; B. Yu,,"Reinforcement Learning Driven Physical Synthesis : (Invited Paper),",2020,2020 IEEE 15th International Conference on Solid-State & Integrated Circuit Technology (ICSICT),,,,1,4,,10.1109/ICSICT49897.2020.9278350,https://doi.org/10.1109/ICSICT49897.2020.9278350,Conference Paper
R. Yasaei; S. -Y. Yu; M. A. Al Faruque,R. Yasaei; S. -Y. Yu; M. A. Al Faruque,,"GNN4TJ: Graph Neural Networks for Hardware Trojan Detection at Register Transfer Level,",2021,2021 Design,,,,1504,1509,,10.23919/DATE51398.2021.9474174,https://doi.org/10.23919/DATE51398.2021.9474174,Conference Paper
B. Dabov; M. Fattori; E. Cantatore; S. Ringeling,B. Dabov; M. Fattori; E. Cantatore; S. Ringeling,,"Performance Prediction and Parameter Synthesis of OTFT Amplifiers Using Neural Networks,",2025,2025 10th International Workshop on Advances in Sensors and Interfaces (IWASI),,,,1,6,,10.1109/IWASI66786.2025.11121971,https://doi.org/10.1109/IWASI66786.2025.11121971,Conference Paper
A. Rautakoura; T. Hämäläinen; A. Kulmala,A. Rautakoura; T. Hämäläinen; A. Kulmala,,"Three SoCs in Three Years: How to Get Agile,",2025,IEEE Micro,45,3,,86,94,,10.1109/MM.2025.3534917,https://doi.org/10.1109/MM.2025.3534917,Journal Article
W. -T. J. Chan; Y. Du; A. B. Kahng; S. Nath; K. Samadi,W. -T. J. Chan; Y. Du; A. B. Kahng; S. Nath; K. Samadi,,"3DIC benefit estimation and implementation guidance from 2DIC implementation,",2015,2015 52nd ACM/EDAC/IEEE Design Automation Conference (DAC),,,,1,6,,10.1145/2744769.2744771,https://doi.org/10.1145/2744769.2744771,Conference Paper
D. Lee; T. Kim; K. Han; Y. Hoskote; L. K. John; A. Gerstlauer,D. Lee; T. Kim; K. Han; Y. Hoskote; L. K. John; A. Gerstlauer,,"Learning-based power modeling of system-level black-box IPs,",2015,2015 IEEE/ACM International Conference on Computer-Aided Design (ICCAD),,,,847,853,,10.1109/ICCAD.2015.7372659,https://doi.org/10.1109/ICCAD.2015.7372659,Conference Paper
S. Xiao; W. Liu; J. Lin; Z. Yu,S. Xiao; W. Liu; J. Lin; Z. Yu,,"A Data-Driven Asynchronous Neural Network Accelerator,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,9,,1874,1886,,10.1109/TCAD.2020.3025508,https://doi.org/10.1109/TCAD.2020.3025508,Journal Article
N. Shah; W. Meert; M. Verhelst,N. Shah; W. Meert; M. Verhelst,,"DPU-v2: Energy-efficient execution of irregular directed acyclic graphs,",2022,2022 55th IEEE/ACM International Symposium on Microarchitecture (MICRO),,,,1288,1307,,10.1109/MICRO56248.2022.00090,https://doi.org/10.1109/MICRO56248.2022.00090,Conference Paper
M. Salem et al.,M. Salem et al.,,"Autoencoder-Augmented Graph Neural Networks for Accurate and Scalable Structure Recognition in Analog/Mixed-Signal Schematics,",2025,IEEE Access,13,,,129721,129740,,10.1109/ACCESS.2025.3591720,https://doi.org/10.1109/ACCESS.2025.3591720,Journal Article
N. Limaye; E. Kalligeros; N. Karousos; I. G. Karybali; O. Sinanoglu,N. Limaye; E. Kalligeros; N. Karousos; I. G. Karybali; O. Sinanoglu,,"Thwarting All Logic Locking Attacks: Dishonest Oracle With Truly Random Logic Locking,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,9,,1740,1753,,10.1109/TCAD.2020.3029133,https://doi.org/10.1109/TCAD.2020.3029133,Journal Article
D. Coenen; H. Oprins,D. Coenen; H. Oprins,,"PINDAS: Physics-Informed Decoupled Spatiotemporal Artificial Neural Network for Dynamic Thermal Simulation,",2026,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,45,2,,998,1006,,10.1109/TCAD.2025.3591411,https://doi.org/10.1109/TCAD.2025.3591411,Journal Article
J. Melchert; Y. Mei; K. Koul; Q. Liu; M. Horowitz; P. Raina,J. Melchert; Y. Mei; K. Koul; Q. Liu; M. Horowitz; P. Raina,,"Cascade: An Application Pipelining Toolkit for Coarse-Grained Reconfigurable Arrays,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,10,,3055,3067,,10.1109/TCAD.2024.3390542,https://doi.org/10.1109/TCAD.2024.3390542,Journal Article
M. I. Rashid; B. C. Schafer,M. I. Rashid; B. C. Schafer,,"Fast and Inexpensive High-Level Synthesis Design Space Exploration: Machine Learning to the Rescue,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,11,,3939,3950,,10.1109/TCAD.2023.3258341,https://doi.org/10.1109/TCAD.2023.3258341,Journal Article
H. -H. Hsiao; Y. -C. Lu; S. K. Lim; H. Ren,H. -H. Hsiao; Y. -C. Lu; S. K. Lim; H. Ren,,"BUFFALO: PPA-Configurable, LLM-based Buffer Tree Generation via Group Relative Policy Optimization,",2025,2025 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD66269.2025.11240744,https://doi.org/10.1109/ICCAD66269.2025.11240744,Conference Paper
B. Viale; B. Allard,B. Viale; B. Allard,,"Scalable and Versatile Design Guidance Tool for the ESD Robustness of Integrated Circuits—Part II,",2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,39,10,,3107,3117,,10.1109/TCAD.2019.2962119,https://doi.org/10.1109/TCAD.2019.2962119,Journal Article
M. Liu; F. Ye; X. Li; K. Chakrabarty; X. Gu,M. Liu; F. Ye; X. Li; K. Chakrabarty; X. Gu,,"Board-Level Functional Fault Identification Using Streaming Data,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,9,,1920,1933,,10.1109/TCAD.2020.3031865,https://doi.org/10.1109/TCAD.2020.3031865,Journal Article
N. Zompakis; S. Xydis,N. Zompakis; S. Xydis,,"Dynamic Frequency Boosting beyond Critical Path Delay,",2022,2022 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,8,,,,Conference Paper
D.V.N.Bharathi; B. S. Kandula; V. N. T. Kalepu; Y. Korada; T. Kammila; M. S. Kanchi,D.V.N.Bharathi; B. S. Kandula; V. N. T. Kalepu; Y. Korada; T. Kammila; M. S. Kanchi,,"A Comprehensive Survey of Clock-Gating Techniques for Low-Power VLSI Design,",2025,2025 9th International Conference on Electronics,,,,398,405,,10.1109/ICECA66444.2025.11383489,https://doi.org/10.1109/ICECA66444.2025.11383489,Conference Paper
H. Yang; Y. Hu; Y. Liu; C. Hao,H. Yang; Y. Hu; Y. Liu; C. Hao,,"Pieceformer: Similarity-Driven Knowledge Transfer via Scalable Graph Transformer in VLSI,",2025,2025 ACM/IEEE 7th Symposium on Machine Learning for CAD (MLCAD),,,,1,7,,10.1109/MLCAD65511.2025.11189177,https://doi.org/10.1109/MLCAD65511.2025.11189177,Conference Paper
T. Jeong; E. -Y. Chung,T. Jeong; E. -Y. Chung,,"PipePIM: Maximizing Computing Unit Utilization in ML-Oriented Digital PIM by Pipelining and Dual Buffering,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,12,,4585,4598,,10.1109/TCAD.2024.3410842,https://doi.org/10.1109/TCAD.2024.3410842,Journal Article
C. -L. Chou; R. Marculescu,C. -L. Chou; R. Marculescu,,"Designing Heterogeneous Embedded Network-on-Chip Platforms With Users in Mind,",2010,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,29,9,,1301,1314,,10.1109/TCAD.2010.2049045,https://doi.org/10.1109/TCAD.2010.2049045,Journal Article
M. Chen; Y. Hao; M. Gandara; M. Imran; B. Liu,M. Chen; Y. Hao; M. Gandara; M. Imran; B. Liu,,"Trade-off-aware Analog Circuit Sizing Based on A Multitask Surrogate Model-assisted Evolutionary Algorithm,",2026,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,,,,,,10.1109/TCAD.2026.3677769,https://doi.org/10.1109/TCAD.2026.3677769,Journal Article
P. Taghipour; E. Granger; Y. Blaquière,P. Taghipour; E. Granger; Y. Blaquière,,"Hybrid Graph Representation and Learning Framework for High-Level Synthesis Design Space Exploration,",2024,IEEE Access,12,,,189574,189589,,10.1109/ACCESS.2024.3509606,https://doi.org/10.1109/ACCESS.2024.3509606,Journal Article
R. Elnaggar; J. Chaudhuri; R. Karri; K. Chakrabarty,R. Elnaggar; J. Chaudhuri; R. Karri; K. Chakrabarty,,"Learning Malicious Circuits in FPGA Bitstreams,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,3,,726,739,,10.1109/TCAD.2022.3190771,https://doi.org/10.1109/TCAD.2022.3190771,Journal Article
W. Hu; C. -H. Chang; A. Sengupta; S. Bhunia; R. Kastner; H. Li,W. Hu; C. -H. Chang; A. Sengupta; S. Bhunia; R. Kastner; H. Li,,"An Overview of Hardware Security and Trust: Threats, Countermeasures, and Design Tools,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,6,,1010,1038,,10.1109/TCAD.2020.3047976,https://doi.org/10.1109/TCAD.2020.3047976,Journal Article
A. Agnesina; K. Chang; S. K. Lim,A. Agnesina; K. Chang; S. K. Lim,,"VLSI Placement Parameter Optimization using Deep Reinforcement Learning,",2020,2020 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,,,Conference Paper
X. Li; W. Li; X. Lai; J. Liu; R. Wang,X. Li; W. Li; X. Lai; J. Liu; R. Wang,,"iPCL: Pre-training for Chip Layout (Invited Paper),",2026,2026 31st Asia and South Pacific Design Automation Conference (ASP-DAC),,,,1103,1109,,10.1109/ASP-DAC66049.2026.11420619,https://doi.org/10.1109/ASP-DAC66049.2026.11420619,Conference Paper
K. Gaddipati,K. Gaddipati,,"An Effective Modelling of Optimized High-Speed VLSI Analog Circuit Layout using Fine-Tuned Deep Reinforcement Learning Framework,",2025,2025 International Conference on Electrical and Computer Engineering Researches (ICECER),,,,1,6,,10.1109/ICECER65523.2025.11401285,https://doi.org/10.1109/ICECER65523.2025.11401285,Conference Paper
T. Dai; B. Shi; G. Luo,T. Dai; B. Shi; G. Luo,,"Weave: Abstraction and Integration Flow for Accelerators of Generated Modules,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,3,,854,867,,10.1109/TCAD.2023.3325972,https://doi.org/10.1109/TCAD.2023.3325972,Journal Article
G. Zhang; M. Wang; Z. Wang,G. Zhang; M. Wang; Z. Wang,,"MGEMMV: A Multimodal LLM Framework for GEMM Verilog Generation From Circuit Diagrams,",2025,IEEE Transactions on Circuits and Systems I: Regular Papers,,,,,,,10.1109/TCSI.2025.3648843,https://doi.org/10.1109/TCSI.2025.3648843,Journal Article
H. Amrouch; F. Klemme,H. Amrouch; F. Klemme,,"ML to the Rescue: Reliability Estimation from Self-Heating and Aging in Transistors all the Way up Processors,",2023,2023 28th Asia and South Pacific Design Automation Conference (ASP-DAC),,,,76,82,,,,Conference Paper
A. Verosimile; F. Peverelli; M. D. Santambrogio,A. Verosimile; F. Peverelli; M. D. Santambrogio,,"Moyogi: A Memory-Centric Accelerator for Low-Latency Random Forest Inference on Embedded Devices,",2025,2025 IEEE 33rd Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),,,,189,197,,10.1109/FCCM62733.2025.00065,https://doi.org/10.1109/FCCM62733.2025.00065,Conference Paper
P. Dhingra; J. R. Doppa; P. P. Pande,P. Dhingra; J. R. Doppa; P. P. Pande,,"Atleus: Accelerating Transformers on the Edge Enabled by 3D Heterogeneous Manycore Architectures,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,8,,2842,2855,,10.1109/TCAD.2025.3531255,https://doi.org/10.1109/TCAD.2025.3531255,Journal Article
Z. Lin; S. Sinha; W. Zhang,Z. Lin; S. Sinha; W. Zhang,,"An Ensemble Learning Approach for In-Situ Monitoring of FPGA Dynamic Power,",2019,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,38,9,,1661,1674,,10.1109/TCAD.2018.2859248,https://doi.org/10.1109/TCAD.2018.2859248,Journal Article
M. Liu; X. Li; K. Chakrabarty; X. Gu,M. Liu; X. Li; K. Chakrabarty; X. Gu,,"Knowledge Transfer in Board-Level Functional Fault Diagnosis Enabled by Domain Adaptation,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,3,,762,775,,10.1109/TCAD.2021.3065919,https://doi.org/10.1109/TCAD.2021.3065919,Journal Article
T. Bai et al.,T. Bai et al.,,"An End-to-End In-Memory Computing System Based on a 40-nm eFlash-Based IMC SoC: Circuits, Toolchains, and Systems Co-Design Framework,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,6,,1729,1740,,10.1109/TCAD.2024.3349502,https://doi.org/10.1109/TCAD.2024.3349502,Journal Article
A. Deeb et al.,A. Deeb et al.,,"A Graph Attention Network Based System for Robust Analog Circuits’ Structure Recognition Involving a Novel Data Augmentation Technique,",2024,IEEE Access,12,,,29308,29344,,10.1109/ACCESS.2024.3367598,https://doi.org/10.1109/ACCESS.2024.3367598,Journal Article
A. Rajaiyan; Y. H. Tehrani; S. M. Atarodi,A. Rajaiyan; Y. H. Tehrani; S. M. Atarodi,,"PMTV PUF: Power-Aware and ML-Secure PUF with Tolerance to Temperature and Voltage Fluctuations,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,,,,,,10.1109/TCAD.2025.3634304,https://doi.org/10.1109/TCAD.2025.3634304,Journal Article
L. Ma; L. Lavagno; M. T. Lazarescu; A. Arif,L. Ma; L. Lavagno; M. T. Lazarescu; A. Arif,,"Acceleration by Inline Cache for Memory-Intensive Algorithms on FPGA via High-Level Synthesis,",2017,IEEE Access,5,,,18953,18974,,10.1109/ACCESS.2017.2750923,https://doi.org/10.1109/ACCESS.2017.2750923,Journal Article
Z. Zhao; Z. Li; T. Li; F. Zhang,Z. Zhao; Z. Li; T. Li; F. Zhang,,"TPE-Det: A Tamper-Proof External Detector via Hardware Traces Analysis Against IoT Malware,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,11,,3455,3466,,10.1109/TCAD.2024.3444712,https://doi.org/10.1109/TCAD.2024.3444712,Journal Article
