Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
W. Fang et al.,W. Fang et al.,,"MasterRTL: A Pre-Synthesis PPA Estimation Framework for Any RTL Design,",2023,2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD57390.2023.10323951,https://doi.org/10.1109/ICCAD57390.2023.10323951,Conference Paper
A. C. Goad et al.,A. C. Goad et al.,,"Bring Your Own Code: A Simulation Framework to Harness Optimization, Artificial Intelligence, and Automation Techniques for Microwave Design,",2025,IEEE Microwave Magazine,,,,,,,10.1109/MMM.2025.3617448,https://doi.org/10.1109/MMM.2025.3617448,Journal Article
H. Tan et al.,H. Tan et al.,,"A Low-Cost Floating-Point Dot-Product-Dual-Accumulate Architecture for HPC-Enabled AI,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,2,,681,693,,10.1109/TCAD.2023.3316994,https://doi.org/10.1109/TCAD.2023.3316994,Journal Article
P. S; N. K. B; M. K. S. B,P. S; N. K. B; M. K. S. B,,"A Hierarchical Graph-Aware Learning Framework for Scalable and Generalizable VLSI Placement,",2025,2025 Third International Conference on Networks,,,,1,6,,10.1109/NMITCON65824.2025.11188124,https://doi.org/10.1109/NMITCON65824.2025.11188124,Conference Paper
E. Trommer; B. Waschneck; A. Kumar,E. Trommer; B. Waschneck; A. Kumar,,"Fast Retraining of Approximate CNNs for High Accuracy,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,4,,1224,1237,,10.1109/TCAD.2024.3483091,https://doi.org/10.1109/TCAD.2024.3483091,Journal Article
W. Ding; Z. Zhang; G. He; P. Cao,W. Ding; Z. Zhang; G. He; P. Cao,,"A Physical and Timing Aware Placement Optimization Framework Based on Graph Neural Network,",2024,2024 ACM/IEEE International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1145/3676536.3676772,https://doi.org/10.1145/3676536.3676772,Conference Paper
L. Lu et al.,L. Lu et al.,,"3D-IC In-Design Thermal Analysis and Optimization,",2024,2024 23rd IEEE Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (ITherm),,,,1,5,,10.1109/ITherm55375.2024.10709572,https://doi.org/10.1109/ITherm55375.2024.10709572,Conference Paper
H. Chen; K. Zhu; M. Liu; X. Tang; N. Sun; D. Z. Pan,H. Chen; K. Zhu; M. Liu; X. Tang; N. Sun; D. Z. Pan,,"Universal Symmetry Constraint Extraction for Analog and Mixed-Signal Circuits with Graph Neural Networks,",2021,2021 58th ACM/IEEE Design Automation Conference (DAC),,,,1243,1248,,10.1109/DAC18074.2021.9586211,https://doi.org/10.1109/DAC18074.2021.9586211,Conference Paper
G. He; W. Ding; Y. Ye; X. Cheng; Q. Song; P. Cao,G. He; W. Ding; Y. Ye; X. Cheng; Q. Song; P. Cao,,"An Optimization-aware Pre-Routing Timing Prediction Framework Based on Heterogeneous Graph Learning,",2024,2024 29th Asia and South Pacific Design Automation Conference (ASP-DAC),,,,177,182,,10.1109/ASP-DAC58780.2024.10473937,https://doi.org/10.1109/ASP-DAC58780.2024.10473937,Conference Paper
Z. -H. Lee; C. -H. Lu; H. -H. Pan; T. -C. Wang; P. -Y. Chen; C. -F. C. Shen,Z. -H. Lee; C. -H. Lu; H. -H. Pan; T. -C. Wang; P. -Y. Chen; C. -F. C. Shen,,"A Robust Routing Guide Generation Approach for Mixed-Size Designs,",2023,2023 ACM/IEEE 5th Workshop on Machine Learning for CAD (MLCAD),,,,1,6,,10.1109/MLCAD58807.2023.10299806,https://doi.org/10.1109/MLCAD58807.2023.10299806,Conference Paper
Zachary Lasiuk; Pareena Verma; Jason Andrews,Zachary Lasiuk; Pareena Verma; Jason Andrews,,The Insider’s Guide to Arm Cortex-M Development: Leverage embedded software development tools and examples to become an efficient Cortex-M developer,2022,Packt Publishing,,,,,,,,,Book
M. Liu; D. Robinson; Y. Li; C. Yu,M. Liu; D. Robinson; Y. Li; C. Yu,,"MapTune: Advancing ASIC Technology Mapping via Reinforcement Learning Guided Library Tuning,",2024,2024 ACM/IEEE International Conference On Computer Aided Design (ICCAD),,,,1,10,,10.1145/3676536.3676762,https://doi.org/10.1145/3676536.3676762,Conference Paper
I. Ghosh; S. Boppu,I. Ghosh; S. Boppu,,"FPGA-based Hardware Acceleration of Kolmogorov-Arnold Networks for Edge Inference,",2026,IEEE Transactions on Circuits and Systems for Artificial Intelligence,,,,,,,10.1109/TCASAI.2026.3667461,https://doi.org/10.1109/TCASAI.2026.3667461,Journal Article
R. S. Rajarathnam; M. B. Alawieh; Z. Jiang; M. Iyer; D. Z. Pan,R. S. Rajarathnam; M. B. Alawieh; Z. Jiang; M. Iyer; D. Z. Pan,,"DREAMPlaceFPGA: An Open-Source Analytical Placer for Large Scale Heterogeneous FPGAs using Deep-Learning Toolkit,",2022,2022 27th Asia and South Pacific Design Automation Conference (ASP-DAC),,,,300,306,,10.1109/ASP-DAC52403.2022.9712562,https://doi.org/10.1109/ASP-DAC52403.2022.9712562,Conference Paper
L. Kouhalvandi; L. Matekovits,L. Kouhalvandi; L. Matekovits,,"Ku-Band Low-Noise Amplifier Configuration and Optimization Through BiLSTM-Based Deep Neural Networks,",2026,IEEE Access,14,,,42751,42760,,10.1109/ACCESS.2026.3674770,https://doi.org/10.1109/ACCESS.2026.3674770,Journal Article
S. Li; X. Yao; R. Chen; W. Feng; G. Zhang,S. Li; X. Yao; R. Chen; W. Feng; G. Zhang,,"A Soft-Hard Collaborative CNN Inference Acceleration System Based on NP Cores of DPU,",2024,2024 IEEE International Conference on Embedded Software and Systems (ICESS),,,,9,16,,10.1109/ICESS64277.2024.00012,https://doi.org/10.1109/ICESS64277.2024.00012,Conference Paper
Y. Lu et al.,Y. Lu et al.,,"VIRTUAL: Vector-based Dynamic Power Estimation via Decoupled Multi-Modality Learning,",2025,2025 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD66269.2025.11240833,https://doi.org/10.1109/ICCAD66269.2025.11240833,Conference Paper
Y. -H. Huang et al.,Y. -H. Huang et al.,,"Routability-Driven Macro Placement with Embedded CNN-Based Prediction Model,",2019,2019 Design,,,,180,185,,10.23919/DATE.2019.8715126,https://doi.org/10.23919/DATE.2019.8715126,Conference Paper
W. -H. Chang et al.,W. -H. Chang et al.,,"Generating Routing-Driven Power Distribution Networks With Machine-Learning Technique,",2017,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,36,8,,1237,1250,,10.1109/TCAD.2017.2648842,https://doi.org/10.1109/TCAD.2017.2648842,Journal Article
