Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
Q. -M. Duong; K. -S. Nguyen; H. -D. Nguyen; X. -U. Dao; A. -T. do; Q. -K. Trinh,Q. -M. Duong; K. -S. Nguyen; H. -D. Nguyen; X. -U. Dao; A. -T. do; Q. -K. Trinh,,"FeCBF: A Novel Sub-Optimal Cascaded Bloom Filter Structure Based on Feature Extraction,",2024,IEEE Access,12,,,67619,67631,,10.1109/ACCESS.2024.3399062,https://doi.org/10.1109/ACCESS.2024.3399062,Journal Article
J. Li; S. Dasgupta; Y. Song; L. Yang; T. Humble; W. Jiang,J. Li; S. Dasgupta; Y. Song; L. Yang; T. Humble; W. Jiang,,"Computational Performance Bounds Prediction in Quantum Computing With Unstable Noise,",2026,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,45,2,,969,982,,10.1109/TCAD.2025.3592605,https://doi.org/10.1109/TCAD.2025.3592605,Journal Article
C. Nie et al.,C. Nie et al.,,"APU: Accelerate Point Cloud Neural Networks via Unified Processing-in-SRAM Architecture,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,,,,,,10.1109/TCAD.2025.3641024,https://doi.org/10.1109/TCAD.2025.3641024,Journal Article
S. Li; Y. Luo; K. Sun; N. Yadav; K. K. Choi,S. Li; Y. Luo; K. Sun; N. Yadav; K. K. Choi,,"A Novel FPGA Accelerator Design for Real-Time and Ultra-Low Power Deep Convolutional Neural Networks Compared With Titan X GPU,",2020,IEEE Access,8,,,105455,105471,,10.1109/ACCESS.2020.3000009,https://doi.org/10.1109/ACCESS.2020.3000009,Journal Article
G. Chen; W. Chen; Q. Sun; Y. Ma; H. Yang; B. Yu,G. Chen; W. Chen; Q. Sun; Y. Ma; H. Yang; B. Yu,,"DAMO: Deep Agile Mask Optimization for Full-Chip Scale,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,9,,3118,3131,,10.1109/TCAD.2021.3116511,https://doi.org/10.1109/TCAD.2021.3116511,Journal Article
A. Marchisio; V. Mrazek; M. A. Hanif; M. Shafique,A. Marchisio; V. Mrazek; M. A. Hanif; M. Shafique,,"DESCNet: Developing Efficient Scratchpad Memories for Capsule Network Hardware,",2021,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,40,9,,1768,1781,,10.1109/TCAD.2020.3030610,https://doi.org/10.1109/TCAD.2020.3030610,Journal Article
L. Deng et al.,L. Deng et al.,,"SemiMap: A Semi-Folded Convolution Mapping for Speed-Overhead Balance on Crossbars,",2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,39,1,,117,130,,10.1109/TCAD.2018.2883959,https://doi.org/10.1109/TCAD.2018.2883959,Journal Article
X. Li; M. Li; X. Cheng; F. Chen,X. Li; M. Li; X. Cheng; F. Chen,,"Non-Contact Rapid Neck Socket Depth and Shoulder Width Measurement for Pillow Design,",2025,IEEE Access,13,,,119563,119576,,10.1109/ACCESS.2025.3586930,https://doi.org/10.1109/ACCESS.2025.3586930,Journal Article
F. Liu et al.,F. Liu et al.,,"IVQ: In-Memory Acceleration of DNN Inference Exploiting Varied Quantization,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,12,,5313,5326,,10.1109/TCAD.2022.3156017,https://doi.org/10.1109/TCAD.2022.3156017,Journal Article
A. Vijayan; S. Kiamehr; M. Ebrahimi; K. Chakrabarty; M. B. Tahoori,A. Vijayan; S. Kiamehr; M. Ebrahimi; K. Chakrabarty; M. B. Tahoori,,"Online Soft-Error Vulnerability Estimation for Memory Arrays and Logic Cores,",2018,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,37,2,,499,511,,10.1109/TCAD.2017.2706558,https://doi.org/10.1109/TCAD.2017.2706558,Journal Article
