Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
N. L. Prabhu; N. Raghavan,N. L. Prabhu; N. Raghavan,,"Neuromorphic In-Memory RRAM NAND/NOR Circuit Performance Analysis in a CNN Training Framework on the Edge for Low Power IoT,",2022,IEEE Access,10,,,125112,125135,,10.1109/ACCESS.2022.3219066,https://doi.org/10.1109/ACCESS.2022.3219066,Journal Article
Z. Liang; J. Tian; Y. Zou; Y. Gao,Z. Liang; J. Tian; Y. Zou; Y. Gao,,"Edge-Accelerated Fall Detection Via Mmwave Biosensing and Quantized CNN: A Soft-Hardware Co-Design Approach,",2025,2025 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,,,5470,5477,,10.1109/BIBM66473.2025.11356382,https://doi.org/10.1109/BIBM66473.2025.11356382,Conference Paper
I. Alam; T. Li; S. Brock; P. Gupta,I. Alam; T. Li; S. Brock; P. Gupta,,"DRDebug: Automated Design Rule Debugging,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,2,,606,615,,10.1109/TCAD.2022.3174722,https://doi.org/10.1109/TCAD.2022.3174722,Journal Article
Z. Wang et al.,Z. Wang et al.,,"ParSGCN: Bridging the Gap Between Emulation Partitioning and Scheduling,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,3,,1180,1192,,10.1109/TCAD.2024.3453199,https://doi.org/10.1109/TCAD.2024.3453199,Journal Article
M. Kang; H. Shin; L. -S. Kim,M. Kang; H. Shin; L. -S. Kim,,"A Framework for Accelerating Transformer-Based Language Model on ReRAM-Based Architecture,",2022,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,41,9,,3026,3039,,10.1109/TCAD.2021.3121264,https://doi.org/10.1109/TCAD.2021.3121264,Journal Article
J. Park; W. Yi; D. Ahn; J. Kung; J. -J. Kim,J. Park; W. Yi; D. Ahn; J. Kung; J. -J. Kim,,"Balancing Computation Loads and Optimizing Input Vector Loading in LSTM Accelerators,",2020,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,39,9,,1889,1901,,10.1109/TCAD.2019.2926482,https://doi.org/10.1109/TCAD.2019.2926482,Journal Article
S. Sukumaran; B. P. S.; N. Gala; T. S. Warrier,S. Sukumaran; B. P. S.; N. Gala; T. S. Warrier,,"P-Box: A RISC-V Packed-SIMD Approach of Accelerating Edge Workloads on Scalar Embedded Cores,",2026,IEEE Access,14,,,40172,40189,,10.1109/ACCESS.2026.3671659,https://doi.org/10.1109/ACCESS.2026.3671659,Journal Article
X. He; X. Zhuge; F. Dang; W. Xu; Z. Yang,X. He; X. Zhuge; F. Dang; W. Xu; Z. Yang,,"DeepScheduler: Enabling Flow-Aware Scheduling in Time-Sensitive Networking,",2023,IEEE INFOCOM 2023 - IEEE Conference on Computer Communications,,,,1,10,,10.1109/INFOCOM53939.2023.10228875,https://doi.org/10.1109/INFOCOM53939.2023.10228875,Conference Paper
C. -H. Chen; K. -S. Lin; J. -S. Hsiao,C. -H. Chen; K. -S. Lin; J. -S. Hsiao,,"Human-AI Collaborative Design of ReActNet-XGBoost Hardware Accelerator for Personalized Wearable ECG Monitoring,",2025,2025 IEEE 37th International Conference on Tools with Artificial Intelligence (ICTAI),,,,1484,1491,,10.1109/ICTAI66417.2025.00215,https://doi.org/10.1109/ICTAI66417.2025.00215,Conference Paper
Y. Tang; A. K. Jones; J. Xiong; P. Zhou; J. Hu,Y. Tang; A. K. Jones; J. Xiong; P. Zhou; J. Hu,,"MTrain: Enable Efficient CNN Training on Heterogeneous FPGA-Based Edge Servers,",2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,44,9,,3395,3408,,10.1109/TCAD.2025.3541486,https://doi.org/10.1109/TCAD.2025.3541486,Journal Article
B. B. Shabarinath; M. Pullakandam,B. B. Shabarinath; M. Pullakandam,,"Embedded Hardware-Efficient FPGA Architecture for SVM Learning and Inference,",2025,IEEE Access,13,,,68930,68947,,10.1109/ACCESS.2025.3562453,https://doi.org/10.1109/ACCESS.2025.3562453,Journal Article
Q. Huang; Z. Yang; K. Ni; M. Imani; C. Zhuo; X. Yin,Q. Huang; Z. Yang; K. Ni; M. Imani; C. Zhuo; X. Yin,,"FeFET-Based In-Memory Hyperdimensional Encoding Design,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,11,,3829,3839,,10.1109/TCAD.2023.3253766,https://doi.org/10.1109/TCAD.2023.3253766,Journal Article
R. Wang et al.,R. Wang et al.,,"An Efficient GCNs Accelerator Using 3D-Stacked Processing-in-Memory Architectures,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,5,,1360,1373,,10.1109/TCAD.2023.3341753,https://doi.org/10.1109/TCAD.2023.3341753,Journal Article
L. He et al.,L. He et al.,,"Exploring Approximation and Dataflow Co-Optimization for Scalable Transformer Inference Architecture on the Edge,",2024,2024 IEEE 37th International System-on-Chip Conference (SOCC),,,,1,6,,10.1109/SOCC62300.2024.10737793,https://doi.org/10.1109/SOCC62300.2024.10737793,Conference Paper
J. Xu et al.,J. Xu et al.,,"Modeling Cycle-to-Cycle Variation in Memristors for In-Situ Unsupervised Trace-STDP Learning,",2024,IEEE Transactions on Circuits and Systems II: Express Briefs,71,2,,627,631,,10.1109/TCSII.2023.3309329,https://doi.org/10.1109/TCSII.2023.3309329,Journal Article
