Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
E. S. Alcorta et al.,E. S. Alcorta et al.,,"Special Session: Machine Learning for Embedded System Design,",2023,2023 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),,,,28,37,,,,Conference Paper
D. E. Kim; T. Sharma; K. Roy,D. E. Kim; T. Sharma; K. Roy,,"HASTILY: Hardware-Software Co-Design for Accelerating Transformer Inference Leveraging Compute-in-Memory,",2025,IEEE Transactions on Circuits and Systems for Artificial Intelligence,2,4,,337,350,,10.1109/TCASAI.2025.3601975,https://doi.org/10.1109/TCASAI.2025.3601975,Journal Article
S. W. Oh; G. H. Hwang; H. Oh; H. Sim; M. K. Choi; J. W. Jeon,S. W. Oh; G. H. Hwang; H. Oh; H. Sim; M. K. Choi; J. W. Jeon,,"DPU-Aware Hardware-Software Co-Design for Real-Time Semantic Segmentation,",2025,2025 IEEE/IEIE International Conference on Consumer Electronics-Asia (ICCE-Asia),,,,1,6,,10.1109/ICCE-Asia67487.2025.11263642,https://doi.org/10.1109/ICCE-Asia67487.2025.11263642,Conference Paper
O. K. Allotey Babington; N. Amanquah,O. K. Allotey Babington; N. Amanquah,,"An FPGA-Based Hardware-Software Co-Design Approach for Embedded Machine Learning Acceleration,",2025,2025 IEEE 18th International Symposium on Embedded Multicore/Many-core Systems-on-Chip (MCSoC),,,,727,733,,10.1109/MCSoC67473.2025.00117,https://doi.org/10.1109/MCSoC67473.2025.00117,Conference Paper
A. Varaldi; A. Naclerio; F. Riente; M. Zamboni; M. Graziano; M. Vacca,A. Varaldi; A. Naclerio; F. Riente; M. Zamboni; M. Graziano; M. Vacca,,"Optimizing TCN Inference: A Hardware-Software Co-Design Approach with CGRA Acceleration,",2025,2025 IEEE Computer Society Annual Symposium on VLSI (ISVLSI),,,,1,6,,10.1109/ISVLSI65124.2025.11130330,https://doi.org/10.1109/ISVLSI65124.2025.11130330,Conference Paper
V. Muttillo; V. Stoico; M. Santic; G. Valente; L. Pomante; D. Frigioni,V. Muttillo; V. Stoico; M. Santic; G. Valente; L. Pomante; D. Frigioni,,"SLIDE-x-ML: System-Level Infrastructure for Dataset E-xtraction and Machine Learning Framework for High-Level Synthesis Estimations,",2024,2024 IEEE 42nd International Conference on Computer Design (ICCD),,,,616,619,,10.1109/ICCD63220.2024.00098,https://doi.org/10.1109/ICCD63220.2024.00098,Conference Paper
B. Sesli; M. Sabih; F. Hannig; J. Teich,B. Sesli; M. Sabih; F. Hannig; J. Teich,,"Design of Machine Learning Accelerators as RISC-V Extensions using an Open Source Tool Flow,",2025,2025 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD66269.2025.11240834,https://doi.org/10.1109/ICCAD66269.2025.11240834,Conference Paper
H. Johnson; T. Fang; A. Perez-Vicente; J. Saniie,H. Johnson; T. Fang; A. Perez-Vicente; J. Saniie,,"Reconfigurable Distributed FPGA Cluster Design for Deep Learning Accelerators,",2023,2023 IEEE International Conference on Electro Information Technology (eIT),,,,1,5,,10.1109/eIT57321.2023.10187228,https://doi.org/10.1109/eIT57321.2023.10187228,Conference Paper
D. S. Lopera; L. Servadei; G. N. Kiprit; S. Hazra; R. Wille; W. Ecker,D. S. Lopera; L. Servadei; G. N. Kiprit; S. Hazra; R. Wille; W. Ecker,,"A Survey of Graph Neural Networks for Electronic Design Automation,",2021,2021 ACM/IEEE 3rd Workshop on Machine Learning for CAD (MLCAD),,,,1,6,,10.1109/MLCAD52597.2021.9531070,https://doi.org/10.1109/MLCAD52597.2021.9531070,Conference Paper
L. Wang; M. Luo,L. Wang; M. Luo,,"Machine Learning Applications and Opportunities in IC Design Flow,",2019,2019 International Symposium on VLSI Design,,,,1,3,,10.1109/VLSI-DAT.2019.8742073,https://doi.org/10.1109/VLSI-DAT.2019.8742073,Conference Paper
