Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Document Type
V. Hamolia; V. Melnyk,V. Hamolia; V. Melnyk,,"A Survey of Machine Learning Methods and Applications in Electronic Design Automation,",2021,2021 11th International Conference on Advanced Computer Information Technologies (ACIT),,,,757,760,,10.1109/ACIT52158.2021.9548117,https://doi.org/10.1109/ACIT52158.2021.9548117,Conference Paper
F. Garbuglia; D. Deschrijver; T. Dhaene,F. Garbuglia; D. Deschrijver; T. Dhaene,,"On the Role of Bayesian Learning for Electronic Design Automation: A Survey,",2023,IEEE Electromagnetic Compatibility Magazine,12,4,,77,84,,10.1109/MEMC.2023.10466425,https://doi.org/10.1109/MEMC.2023.10466425,Journal Article
M. P. Varghese; T. Muthumanickam,M. P. Varghese; T. Muthumanickam,,"Machine Learning Approaches for Electronic Design Automation in IC Design Flow,",2022,2022 Sixth International Conference on I-SMAC (IoT in Social,,,,528,533,,10.1109/I-SMAC55078.2022.9987302,https://doi.org/10.1109/I-SMAC55078.2022.9987302,Conference Paper
G. Jin; L. Wang; Z. Wang,G. Jin; L. Wang; Z. Wang,,"A New Description Language for Data-Driven Asynchronous Circuits and its Design Flow,",2009,2009 Pacific-Asia Conference on Circuits,,,,322,325,,10.1109/PACCS.2009.132,https://doi.org/10.1109/PACCS.2009.132,Conference Paper
F. P. Nugraha; Q. Shao,F. P. Nugraha; Q. Shao,,"Machine Learning-Based Predictive Modeling for Designing Transmon Superconducting Qubits,",2023,2023 IEEE International Conference on Quantum Computing and Engineering (QCE),,,,1360,1368,,10.1109/QCE57702.2023.00154,https://doi.org/10.1109/QCE57702.2023.00154,Conference Paper
Y. Xiao et al.,Y. Xiao et al.,,"Invited Paper: APS: Open-Source Hardware-Software Co-Design Framework for Agile Processor Specialization,",2025,2025 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD66269.2025.11240817,https://doi.org/10.1109/ICCAD66269.2025.11240817,Conference Paper
L. Capodieci,L. Capodieci,,"Data Analytics and Machine Learning for Design-Process-Yield Optimization in Electronic Design Automation and IC semiconductor manufacturing,",2017,2017 China Semiconductor Technology International Conference (CSTIC),,,,1,3,,10.1109/CSTIC.2017.7919774,https://doi.org/10.1109/CSTIC.2017.7919774,Conference Paper
P. Goswami; M. Shahshahani; D. Bhatia,P. Goswami; M. Shahshahani; D. Bhatia,,"MLSBench: A Benchmark Set for Machine Learning based FPGA HLS Design Flows,",2022,2022 IEEE 13th Latin America Symposium on Circuits and System (LASCAS),,,,1,4,,10.1109/LASCAS53948.2022.9789084,https://doi.org/10.1109/LASCAS53948.2022.9789084,Conference Paper
C. L. P. Nguyen et al.,C. L. P. Nguyen et al.,,"Enhancing functional verification productivity through an automated workflow with Machine Learning based tools,",2024,2024 9th International Conference on Integrated Circuits,,,,166,170,,10.1109/ICDV61346.2024.10617255,https://doi.org/10.1109/ICDV61346.2024.10617255,Conference Paper
V. J. Reddi,V. J. Reddi,,"MLSysBook.AI: Principles and Practices of Machine Learning Systems Engineering,",2024,2024 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),,,,41,42,,10.1109/CODES-ISSS60120.2024.00015,https://doi.org/10.1109/CODES-ISSS60120.2024.00015,Conference Paper
T. Chen; G. L. Zhang; B. Yu; B. Li; U. Schlichtmann,T. Chen; G. L. Zhang; B. Yu; B. Li; U. Schlichtmann,,"Machine Learning in Advanced IC Design: A Methodological Survey,",2023,IEEE Design & Test,40,1,,17,33,,10.1109/MDAT.2022.3216799,https://doi.org/10.1109/MDAT.2022.3216799,Journal Article
K. Liu; J. J. Zhang; B. Tan; D. Feng,K. Liu; J. J. Zhang; B. Tan; D. Feng,,"Can We Trust Machine Learning for Electronic Design Automation?,",2021,2021 IEEE 34th International System-on-Chip Conference (SOCC),,,,135,140,,10.1109/SOCC52499.2021.9739485,https://doi.org/10.1109/SOCC52499.2021.9739485,Conference Paper
Y. -K. Wang; H. -Y. Chen; K. -Y. Chen; S. -Y. Huang,Y. -K. Wang; H. -Y. Chen; K. -Y. Chen; S. -Y. Huang,,"Hardware-Software Codesign of Histogram of Oriented Gradients on Heterogeneous Computing Platform,",2019,2019 International Conference on Machine Learning and Cybernetics (ICMLC),,,,1,7,,10.1109/ICMLC48188.2019.8949276,https://doi.org/10.1109/ICMLC48188.2019.8949276,Conference Paper
L. Zhang; M. Glab; N. Ballmann; J. Teich,L. Zhang; M. Glab; N. Ballmann; J. Teich,,"Bridging algorithm and ESL design: Matlab/Simulink model transformation and validation,",2013,Proceedings of the 2013 Forum on specification and Design Languages (FDL),,,,1,8,,,,Conference Paper
A. V. Quirós; E. C. Barboza,A. V. Quirós; E. C. Barboza,,"Correlating Pre-Route and Signoff Delay Through Delta-Based Machine Learning Prediction,",2025,2025 IEEE 16th Latin America Symposium on Circuits and Systems (LASCAS),,,,1,5,,10.1109/LASCAS64004.2025.10966284,https://doi.org/10.1109/LASCAS64004.2025.10966284,Conference Paper
K. Tanaka et al.,K. Tanaka et al.,,"Communication-Efficient Distributed Deep Learning with GPU-FPGA Heterogeneous Computing,",2020,2020 IEEE Symposium on High-Performance Interconnects (HOTI),,,,43,46,,10.1109/HOTI51249.2020.00021,https://doi.org/10.1109/HOTI51249.2020.00021,Conference Paper
Z. Chai; Y. Zhao; W. Liu; Y. Lin; R. Wang; R. Huang,Z. Chai; Y. Zhao; W. Liu; Y. Lin; R. Wang; R. Huang,,"CircuitNet: An Open-Source Dataset for Machine Learning in VLSI CAD Applications With Improved Domain-Specific Evaluation Metric and Learning Strategies,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,12,,5034,5047,,10.1109/TCAD.2023.3287970,https://doi.org/10.1109/TCAD.2023.3287970,Journal Article
P. C. R. M; R. Sakthivel,P. C. R. M; R. Sakthivel,,"Runtime Prediction and Reduction in VLSI Physical Design using Machine Learning,",2025,2025 Innovations in Power and Advanced Computing Technologies (i-PACT),,,,1,5,,10.1109/i-PACT65952.2025.11307870,https://doi.org/10.1109/i-PACT65952.2025.11307870,Conference Paper
O. M. Mogaka; H. Forsberg; M. Daneshtalab,O. M. Mogaka; H. Forsberg; M. Daneshtalab,,"Bridging Quantization and Deployment: A Fixed-Point Workflow for FPGA Accelerators,",2025,2025 IEEE 28th International Symposium on Design and Diagnostics of Electronic Circuits and Systems (DDECS),,,,123,126,,10.1109/DDECS63720.2025.11006791,https://doi.org/10.1109/DDECS63720.2025.11006791,Conference Paper
S. Raskar; T. Applencourt; K. Kumaran; G. Gao,S. Raskar; T. Applencourt; K. Kumaran; G. Gao,,"Position Paper: Extending Codelet Model for Dataflow Software Pipelining using Software-Hardware Co-Design,",2019,2019 IEEE 43rd Annual Computer Software and Applications Conference (COMPSAC),,,,640,645,,10.1109/COMPSAC.2019.10280,https://doi.org/10.1109/COMPSAC.2019.10280,Conference Paper
P. A. Beerel; M. Pedram,P. A. Beerel; M. Pedram,,"Opportunities for Machine Learning in Electronic Design Automation,",2018,2018 IEEE International Symposium on Circuits and Systems (ISCAS),,,,1,5,,10.1109/ISCAS.2018.8351731,https://doi.org/10.1109/ISCAS.2018.8351731,Conference Paper
Y. Ma; S. Roy; J. Miao; J. Chen; B. Yu,Y. Ma; S. Roy; J. Miao; J. Chen; B. Yu,,"Cross-Layer Optimization for High Speed Adders: A Pareto Driven Machine Learning Approach,",2019,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,38,12,,2298,2311,,10.1109/TCAD.2018.2878129,https://doi.org/10.1109/TCAD.2018.2878129,Journal Article
A. Gusmao; A. Canelas; N. Horta; N. Lourenco; R. Martins,A. Gusmao; A. Canelas; N. Horta; N. Lourenco; R. Martins,,"A Deep Learning Toolbox for Analog Integrated Circuit Placement,",2021,SMACD / PRIME 2021; International Conference on SMACD and 16th Conference on PRIME,,,,1,4,,,,Conference Paper
J. Pan; C. -C. Chang; Z. Xie; Y. Chen; H. H. Li,J. Pan; C. -C. Chang; Z. Xie; Y. Chen; H. H. Li,,"EDALearn: A Comprehensive RTL-to-Signoff EDA Benchmark for Democratized and Reproducible ML for EDA Research,",2024,2024 ACM/IEEE International Conference On Computer Aided Design (ICCAD),,,,1,8,,,,Conference Paper
S. K. Goel; A. Patidar; F. Lee,S. K. Goel; A. Patidar; F. Lee,,"Scan Design Using Unsupervised Machine Learning to Reduce Functional Timing and Area Impact,",2024,2024 IEEE European Test Symposium (ETS),,,,1,4,,10.1109/ETS61313.2024.10567936,https://doi.org/10.1109/ETS61313.2024.10567936,Conference Paper
S. Kapoor; P. Agarwal; L. Kostas,S. Kapoor; P. Agarwal; L. Kostas,,"Challenges in Building Deployable Machine Learning Solutions for SoC Design,",2022,2022 IEEE Women in Technology Conference (WINTECHCON),,,,1,6,,10.1109/WINTECHCON55229.2022.9832287,https://doi.org/10.1109/WINTECHCON55229.2022.9832287,Conference Paper
R. Sinha; S. A. Damghani; K. B. Kent,R. Sinha; S. A. Damghani; K. B. Kent,,"Machine Learning-Based Hard/Soft Logic Trade-offs in VTR,",2022,2022 IEEE International Workshop on Rapid System Prototyping (RSP),,,,57,63,,10.1109/RSP57251.2022.10039002,https://doi.org/10.1109/RSP57251.2022.10039002,Conference Paper
C. Wang et al.,C. Wang et al.,,"D2D-GPT: Leveraging Incremental Learning GPT for Seamless Design Rule Conversion Across EDA Tools,",2024,2024 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS),,,,110,114,,10.1109/APCCAS62602.2024.10808537,https://doi.org/10.1109/APCCAS62602.2024.10808537,Conference Paper
H. Chen; C. Fu; B. D. Rouhani; J. Zhao; F. Koushanfar,H. Chen; C. Fu; B. D. Rouhani; J. Zhao; F. Koushanfar,,"Intellectual Property Protection of Deep-Learning Systems via Hardware/Software Co-Design,",2024,IEEE Design & Test,41,2,,23,31,,10.1109/MDAT.2023.3303435,https://doi.org/10.1109/MDAT.2023.3303435,Journal Article
A. F. Budak; Z. Jiang; K. Zhu; A. Mirhoseini; A. Goldie; D. Z. Pan,A. F. Budak; Z. Jiang; K. Zhu; A. Mirhoseini; A. Goldie; D. Z. Pan,,"Reinforcement Learning for Electronic Design Automation: Case Studies and Perspectives: (Invited Paper),",2022,2022 27th Asia and South Pacific Design Automation Conference (ASP-DAC),,,,500,505,,10.1109/ASP-DAC52403.2022.9712578,https://doi.org/10.1109/ASP-DAC52403.2022.9712578,Conference Paper
A. Helaly; K. Madkour; I. Torunoglu; N. Sakr,A. Helaly; K. Madkour; I. Torunoglu; N. Sakr,,"Unsupervised Graph Neural Network Framework for Balanced Multipatterning in Advanced Electronic Design Automation Layouts,",2026,IEEE Access,14,,,41764,41781,,10.1109/ACCESS.2026.3673032,https://doi.org/10.1109/ACCESS.2026.3673032,Journal Article
C. Lück; D. S. Lopera; S. Wenzek; W. Ecker,C. Lück; D. S. Lopera; S. Wenzek; W. Ecker,,"Industrial Experience with Open-Source EDA Tools,",2022,2022 ACM/IEEE 4th Workshop on Machine Learning for CAD (MLCAD),,,,143,143,,10.1109/MLCAD55463.2022.9900097,https://doi.org/10.1109/MLCAD55463.2022.9900097,Conference Paper
K. Li; V. Melikyan; A. Ghazaryan; S. Melikyan; M. Grigoryan; A. Sahakyan,K. Li; V. Melikyan; A. Ghazaryan; S. Melikyan; M. Grigoryan; A. Sahakyan,,"Net Prioritization for Routing Using Machine Learning Models,",2025,2025 IEEE East-West Design & Test Symposium (EWDTS),,,,1,5,,10.1109/EWDTS67441.2025.11303693,https://doi.org/10.1109/EWDTS67441.2025.11303693,Conference Paper
I. -L. Tseng,I. -L. Tseng,,"Pragmatic EDA Flow Runtime Prediction with Machine Learning and Automatic Outlier Removal,",2024,2024 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS),,,,203,207,,10.1109/APCCAS62602.2024.10808773,https://doi.org/10.1109/APCCAS62602.2024.10808773,Conference Paper
Y. -C. Lin; V. Prasanna,Y. -C. Lin; V. Prasanna,,"A Framework for Graph Machine Learning on Heterogeneous Architecture,",2023,2023 IEEE 31st Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),,,,245,246,,10.1109/FCCM57271.2023.00062,https://doi.org/10.1109/FCCM57271.2023.00062,Conference Paper
B. P. Dharma; A. Gupta; C. Shekhar,B. P. Dharma; A. Gupta; C. Shekhar,,"Data-Driven Approach for Dynamic Comparator in Analog-to-Digital Conversion,",2025,TENCON 2025 - 2025 IEEE Region 10 Conference (TENCON),,,,25,30,,10.1109/TENCON66050.2025.11375215,https://doi.org/10.1109/TENCON66050.2025.11375215,Conference Paper
T. Martin; C. Barnes; G. Grewal; S. Areibi,T. Martin; C. Barnes; G. Grewal; S. Areibi,,"Integrating Machine-Learning Probes into the VTR FPGA Design Flow,",2022,2022 35th SBC/SBMicro/IEEE/ACM Symposium on Integrated Circuits and Systems Design (SBCCI),,,,1,6,,10.1109/SBCCI55532.2022.9893251,https://doi.org/10.1109/SBCCI55532.2022.9893251,Conference Paper
Z. Xie; J. Pan; C. -C. Chang; J. Hu; Y. Chen,Z. Xie; J. Pan; C. -C. Chang; J. Hu; Y. Chen,,"The Dark Side: Security and Reliability Concerns in Machine Learning for EDA,",2023,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,42,4,,1171,1184,,10.1109/TCAD.2022.3199172,https://doi.org/10.1109/TCAD.2022.3199172,Journal Article
V. B S; S. D. R,V. B S; S. D. R,,"Optimizing Power, Performance, and Area in Digital Design Using ML Based Design Space Exploration,",2025,2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),,,,1,6,,10.1109/CSITSS67709.2025.11295118,https://doi.org/10.1109/CSITSS67709.2025.11295118,Conference Paper
S. Pentapati; B. W. Ku; S. Lim,S. Pentapati; B. W. Ku; S. Lim,,"Machine Learning Integrated Pseudo-3-D Flow for Monolithic 3-D ICs,",2021,IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,7,1,,35,42,,10.1109/JXCDC.2021.3095104,https://doi.org/10.1109/JXCDC.2021.3095104,Journal Article
K. Hazelwood et al.,K. Hazelwood et al.,,"Applied Machine Learning at Facebook: A Datacenter Infrastructure Perspective,",2018,2018 IEEE International Symposium on High Performance Computer Architecture (HPCA),,,,620,629,,10.1109/HPCA.2018.00059,https://doi.org/10.1109/HPCA.2018.00059,Conference Paper
D. Jamal; R. T. Veetil,D. Jamal; R. T. Veetil,,"MBIST Area & Test Time Optimization Using Machine Learning,",2023,2023 IEEE International Test Conference India (ITC India),,,,1,6,,10.1109/ITCIndia59034.2023.10235617,https://doi.org/10.1109/ITCIndia59034.2023.10235617,Conference Paper
Z. He et al.,Z. He et al.,,"ChatEDA: A Large Language Model Powered Autonomous Agent for EDA,",2023,2023 ACM/IEEE 5th Workshop on Machine Learning for CAD (MLCAD),,,,1,6,,10.1109/MLCAD58807.2023.10299852,https://doi.org/10.1109/MLCAD58807.2023.10299852,Conference Paper
Z. Xie; T. Zhang; Y. Peng,Z. Xie; T. Zhang; Y. Peng,,"Security and Reliability Challenges in Machine Learning for EDA: Latest Advances,",2023,2023 24th International Symposium on Quality Electronic Design (ISQED),,,,1,6,,10.1109/ISQED57927.2023.10129359,https://doi.org/10.1109/ISQED57927.2023.10129359,Conference Paper
A. Ghazaryan,A. Ghazaryan,,"Optimizing Pin Placement Using Advanced Machine Learning Algorithms,",2025,2025 IEEE East-West Design & Test Symposium (EWDTS),,,,1,5,,10.1109/EWDTS67441.2025.11303707,https://doi.org/10.1109/EWDTS67441.2025.11303707,Conference Paper
I. Guven; M. Parlak; D. Lederer; C. De Vleeschouwer,I. Guven; M. Parlak; D. Lederer; C. De Vleeschouwer,,"AI-Driven Integrated Circuit Design: A Survey of Techniques, Challenges, and Opportunities,",2025,IEEE Access,13,,,167364,167389,,10.1109/ACCESS.2025.3607865,https://doi.org/10.1109/ACCESS.2025.3607865,Journal Article
L. Francisco et al.,L. Francisco et al.,,"Design Rule Checking with a CNN Based Feature Extractor,",2020,2020 ACM/IEEE 2nd Workshop on Machine Learning for CAD (MLCAD),,,,9,14,,10.1145/3380446.3430625,https://doi.org/10.1145/3380446.3430625,Conference Paper
S. Su; Q. Zhang; M. Hassanpourghadi; J. Liu; R. A. Rasul; M. S. -W. Chen,S. Su; Q. Zhang; M. Hassanpourghadi; J. Liu; R. A. Rasul; M. S. -W. Chen,,"Analog/Mixed-Signal Circuit Synthesis Enabled by the Advancements of Circuit Architectures and Machine Learning Algorithms,",2022,2022 27th Asia and South Pacific Design Automation Conference (ASP-DAC),,,,100,107,,10.1109/ASP-DAC52403.2022.9712577,https://doi.org/10.1109/ASP-DAC52403.2022.9712577,Conference Paper
P. R. Popatbhai; R. Gajjar,P. R. Popatbhai; R. Gajjar,,"Runtime Prediction for VLSI Physical Design Processes using Machine Learning,",2024,2024 28th International Symposium on VLSI Design and Test (VDAT),,,,1,6,,10.1109/VDAT63601.2024.10705707,https://doi.org/10.1109/VDAT63601.2024.10705707,Conference Paper
S. Wimer; I. Koren,S. Wimer; I. Koren,,"Design Flow for Flip-Flop Grouping in Data-Driven Clock Gating,",2014,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,22,4,,771,778,,10.1109/TVLSI.2013.2253338,https://doi.org/10.1109/TVLSI.2013.2253338,Journal Article
P. Goswami; D. Bhatia,P. Goswami; D. Bhatia,,"Application of Machine Learning in FPGA EDA Tool Development,",2023,IEEE Access,11,,,109564,109580,,10.1109/ACCESS.2023.3322358,https://doi.org/10.1109/ACCESS.2023.3322358,Journal Article
H. Salmani,H. Salmani,,"Gradual-N-Justification (GNJ) to Reduce False-Positive Hardware Trojan Detection in Gate-Level Netlist,",2022,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,30,4,,515,525,,10.1109/TVLSI.2022.3143349,https://doi.org/10.1109/TVLSI.2022.3143349,Journal Article
F. Daghero et al.,F. Daghero et al.,,"Machine Learning-based feasibility estimation of digital blocks in BCD technology,",2024,2024 IEEE International Conference on Design,,,,1,6,,10.1109/DTTIS62212.2024.10780062,https://doi.org/10.1109/DTTIS62212.2024.10780062,Conference Paper
T. Kilian; A. Sengupta; D. Tille; M. Huch; U. Schlichtmann,T. Kilian; A. Sengupta; D. Tille; M. Huch; U. Schlichtmann,,"An efficient High-Volume Production Performance Screening using On-Chip Ring Oscillators,",2023,2023 IEEE International Symposium on Defect and Fault Tolerance in VLSI and Nanotechnology Systems (DFT),,,,1,6,,10.1109/DFT59622.2023.10313542,https://doi.org/10.1109/DFT59622.2023.10313542,Conference Paper
V. A. Chhabria et al.,V. A. Chhabria et al.,,"Invited: IEEE DATC RDF-2025: Enabling an EDA Research Ecosystem,",2025,2025 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD66269.2025.11240743,https://doi.org/10.1109/ICCAD66269.2025.11240743,Conference Paper
J. Jung; A. B. Kahng; S. Kim; R. Varadarajan,J. Jung; A. B. Kahng; S. Kim; R. Varadarajan,,"METRICS2.1 and Flow Tuning in the IEEE CEDA Robust Design Flow and OpenROAD ICCAD Special Session Paper,",2021,2021 IEEE/ACM International Conference On Computer Aided Design (ICCAD),,,,1,9,,10.1109/ICCAD51958.2021.9643541,https://doi.org/10.1109/ICCAD51958.2021.9643541,Conference Paper
H. Sim; G. H. Hwang; H. Oh; M. K. Choi; S. Wook Oh; J. W. Jeon,H. Sim; G. H. Hwang; H. Oh; M. K. Choi; S. Wook Oh; J. W. Jeon,,"An FPGA-Based Integrated Post-Processing Accelerator for YOLACT in Autonomous Driving,",2025,2025 IEEE/IEIE International Conference on Consumer Electronics-Asia (ICCE-Asia),,,,1,5,,10.1109/ICCE-Asia67487.2025.11263506,https://doi.org/10.1109/ICCE-Asia67487.2025.11263506,Conference Paper
A. Malhotra; A. Singh,A. Malhotra; A. Singh,,"Implementation of AI in the field of VLSI: A Review,",2022,2022 Second International Conference on Power,,,,1,5,,10.1109/ICPC2T53885.2022.9776845,https://doi.org/10.1109/ICPC2T53885.2022.9776845,Conference Paper
G. Mao; A. Yakovlev; F. Xia; T. Lan; S. Yu; R. Shafik,G. Mao; A. Yakovlev; F. Xia; T. Lan; S. Yu; R. Shafik,,"Automated Synthesis of Asynchronous Tsetlin Machines on FPGA,",2022,2022 29th IEEE International Conference on Electronics,,,,1,4,,10.1109/ICECS202256217.2022.9970999,https://doi.org/10.1109/ICECS202256217.2022.9970999,Conference Paper
A. S. Villalobos; A. V. Quirós; E. C. Barboza,A. S. Villalobos; A. V. Quirós; E. C. Barboza,,"Improving Pre-Route Delay Estimations in Open-Source EDA Tools via Machine Learning,",2024,2024 IEEE 42nd Central America and Panama Convention (CONCAPAN XLII),,,,1,6,,10.1109/CONCAPAN63470.2024.10933594,https://doi.org/10.1109/CONCAPAN63470.2024.10933594,Conference Paper
M. Ashraf Alhaddad; S. Eldin Mohamed Hussein; A. Ghadban Helmy; N. Raouf Nagy; M. Ziad Muhammad Ghazy; A. H. Yousef,M. Ashraf Alhaddad; S. Eldin Mohamed Hussein; A. Ghadban Helmy; N. Raouf Nagy; M. Ziad Muhammad Ghazy; A. H. Yousef,,"Utilization of Machine Learning In RTL-GL Signals Correlation,",2021,2021 8th International Conference on Signal Processing and Integrated Networks (SPIN),,,,732,737,,10.1109/SPIN52536.2021.9566070,https://doi.org/10.1109/SPIN52536.2021.9566070,Conference Paper
D. Basso; L. Bortolussi; M. Videnovic-Misic; H. Habal,D. Basso; L. Bortolussi; M. Videnovic-Misic; H. Habal,,"Fast ML-driven Analog Circuit Layout using Reinforcement Learning and Steiner Trees,",2024,2024 20th International Conference on Synthesis,,,,1,4,,10.1109/SMACD61181.2024.10745442,https://doi.org/10.1109/SMACD61181.2024.10745442,Conference Paper
T. Martin; C. Barnes; G. Grewal; S. Areibi,T. Martin; C. Barnes; G. Grewal; S. Areibi,,"Integrating Machine-Learning Probes in FPGA CAD: Why and How?,",2023,IEEE Design & Test,40,5,,7,14,,10.1109/MDAT.2023.3286334,https://doi.org/10.1109/MDAT.2023.3286334,Journal Article
S. V. Raman; P. Limpisathian; P. Meinerzhagen; S. Natarajan; E. Yang,S. V. Raman; P. Limpisathian; P. Meinerzhagen; S. Natarajan; E. Yang,,"Automating Design For Yield: Silicon Learning to Predictive Models and Design Optimization,",2020,2020 IEEE International Test Conference (ITC),,,,1,10,,10.1109/ITC44778.2020.9325263,https://doi.org/10.1109/ITC44778.2020.9325263,Conference Paper
P. Shrestha; I. Savidis,P. Shrestha; I. Savidis,,"EDA-ML: Graph Representation Learning Framework for Digital IC Design Automation,",2024,2024 25th International Symposium on Quality Electronic Design (ISQED),,,,1,7,,10.1109/ISQED60706.2024.10528675,https://doi.org/10.1109/ISQED60706.2024.10528675,Conference Paper
A. Colucci et al.,A. Colucci et al.,,"A Fast Design Space Exploration Framework for the Deep Learning Accelerators: Work-in-Progress,",2020,2020 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),,,,34,36,,10.1109/CODESISSS51650.2020.9244038,https://doi.org/10.1109/CODESISSS51650.2020.9244038,Conference Paper
H. Wu et al.,H. Wu et al.,,"ChatEDA: A Large Language Model Powered Autonomous Agent for EDA,",2024,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,43,10,,3184,3197,,10.1109/TCAD.2024.3383347,https://doi.org/10.1109/TCAD.2024.3383347,Journal Article
A. Berndt; C. Meinhardt,A. Berndt; C. Meinhardt,,"CeConP: Exploring Node Centrality for Early Routing Congestion Prediction,",2024,2024 IEEE 15th Latin America Symposium on Circuits and Systems (LASCAS),,,,1,5,,10.1109/LASCAS60203.2024.10506148,https://doi.org/10.1109/LASCAS60203.2024.10506148,Conference Paper
